Tue Mar 31 20:45:59 +0000 2015,@Kathi_Bill aber Bier is ok oder?@switch2mac
Thu Mar 19 12:06:37 +0000 2015,"@NewRaven ICH GEH MIT DIR DURCH DICK UND DÜNN, BIS ANS ENDE DIESER WELT&#13;&#13;Dein Einsatz!"
Thu Mar 19 10:50:51 +0000 2015,@Lilies_Diary von wann bis wann bist denn da? Evtl komm ich auf n bier rum (bin 4.4. bis 10.4. auf Nerderney) :-)
Wed Mar 18 20:33:52 +0000 2015,Better than normal bier - Drinking a Black Pearl Porter by Distelhuser Brauerei @Kürnach — http://untp.beer/s/c164209472 #photo
Wed Mar 18 20:16:07 +0000 2015,Spätschicht in der Bib. Bräuchte bald nen Bier oder nen Ouzo (@Zentralbibliothek Eichstätt) https://www.swarmapp.com/c/hovcNjRppbw
Wed Mar 18 20:13:48 +0000 2015,@TorstenWieland @FelixHuegel Die die ich von denen kenne sind aber auch alle ziemlich räudig. Welches Land hat wohl ein gutes Bier Nr. 1?
Wed Mar 18 18:52:25 +0000 2015,BTW is das mein erstes #Bier auf meinem Balkon dies Jahr #randomfact
Wed Mar 18 17:36:44 +0000 2015,Proberaum. RoughMix. Bier. #lebenamlimit
Wed Mar 18 17:04:39 +0000 2015,Bier und Lagerfeuer (@Rheinwiese) https://www.swarmapp.com/atari_megaste/checkin/5509affe498e8d933c7e3fb0?s=kUkkvknd5X_QemyvmOgt6z7yrI0&amp;ref=tw
Wed Mar 18 16:32:10 +0000 2015,Auf Greven! Auf das Bier! - Drinking a Nanny State by @BrewDog at @greven_net — http://untp.beer/s/c164179688 #photo
Wed Mar 18 14:48:25 +0000 2015,Fundstück in einem Schaufenster #Einbeck #Bier 
Wed Mar 18 12:11:08 +0000 2015,Selbst mit 18 ist man noch nicht zu alt für's Sandburgen bauen.
Wed Mar 18 07:44:17 +0000 2015,Das überzeugt! @ksta_koeln #kölsch #bier #tourismus #köln
Wed Mar 18 03:48:44 +0000 2015,"es heist ja immer ""kein Bier vor 4"" ... zeri is jetzt angepasst ^^ "
Tue Mar 17 21:40:42 +0000 2015,Verlängerung! Und wieder die Frage: Ist noch Bier da? #AtletiB04
Tue Mar 17 21:38:46 +0000 2015,"Das ist Werbung: ""Bier in Person."" "
Tue Mar 17 21:12:44 +0000 2015,Ich sitze couch und Bier Prost 
Tue Mar 17 16:16:46 +0000 2015,"""Da hab ich am Mittag 2 Bier getrunken und am Abend noch 2. Dann war ich baden und 1 Bier getrunken und dann war ich total kaputt."""
Tue Mar 17 15:42:43 +0000 2015,"@FabianBiastoch @ABZV Kuchen ist ungesund, Bier wär mir lieber"
Tue Mar 17 15:01:48 +0000 2015,"@derbervogel @S666HB Erst die Arbeit, dann Bier trinken."
Tue Mar 17 09:11:29 +0000 2015,"@Delanji Der geht's gerade ganz ok, würde sie sagen."
Mon Mar 16 22:32:47 +0000 2015,"@Saarlandpower Ich weiß auch noch nicht genau zu welchem Spiel das sein soll. :D&#13;Aber gut, zum Fußball sachste' ja nicht Nein."
Mon Mar 16 22:31:14 +0000 2015,@Saarlandpower Werd ich wohl machen. :D
Mon Mar 16 22:29:30 +0000 2015,@Saarlandpower Nach Saarbrücken! Das weiß ich noch gar nicht.
Mon Mar 16 22:28:05 +0000 2015,@Saarlandpower Freunde wollen mich mit zum Fußball nehmen.
Mon Mar 16 22:23:24 +0000 2015,@Saarlandpower Bin sogar bald bei dir da D:
Mon Mar 16 19:12:24 +0000 2015,"Schnitzel und bier, natürlich ... Heute, Ich bin deutsch @Schützenausmarsch Meiers Lebenslust https://instagram.com/p/0TMR9NEY0p/"
Sun Mar 15 22:08:12 +0000 2015,"Warum ich für viele Menschen ein wichtiger Ansprechpartner bin, liegt wahrscheinlich daran, weil keiner weiß wie es mir tatsächlich geht."
Sun Mar 15 22:03:25 +0000 2015,"Während mein bester Freund am schwärmen ist, liege ich heulend am Boden. Aber bloß nichts anmerken lassen."
Sun Mar 15 21:10:23 +0000 2015,@SVSfunke Dachte ich mir auch. :D
Sun Mar 15 17:43:33 +0000 2015,"Der Bus kommt, Ich trinke mein Bier aus und stelle die Flasche neben die Haltestelle. Ich Steig ein und der Fahrer sagt:"
Sun Mar 15 11:49:31 +0000 2015,Will aufn Arm. Und Pommes. Ach nen Bier wär schön. Aber hier gibt es ja nix. Gar nix
Sun Mar 15 10:40:25 +0000 2015,@SPORT1_Dopa wer ist den der schwätzer #kopfschüttel wenn die so weiter machen muss ich mir ein bier holen 
Sun Mar 15 10:33:28 +0000 2015,An Tagen wie diesen wünsche ich mir mal keine Unendlichkeit sondern ein Aspirin.
Sun Mar 15 10:27:04 +0000 2015,"Ich bin seit 19 Stunden aus dem Stadion und singe immer noch. Tatsache ist, ich bin nüchtern."
Sun Mar 15 10:18:31 +0000 2015,Trägt mich jemand in die Küche?
Sun Mar 15 07:36:43 +0000 2015,Erste Zigarettenpause nach vier Bier und dem ganzen Mighty Ducks Film (@Autobahnraststätte Dammer Berge Ost/West) https://www.swarmapp.com/c/9m1TfK3wwUT
Sun Mar 15 00:26:42 +0000 2015,Danke #Kärbholz. Ich habe mich neu in euch verliebt.
Sun Mar 15 00:23:09 +0000 2015,"Kommste Heim, steht nen' Kasten vom Lieblingsbier im Zimmer und im Fernseher läuft Kleines Arschloch. Perfekt."
Sat Mar 14 23:47:40 +0000 2015,Enjoying a Schalander Bier Naturtrüb by Frstlich Frstenbergische Brauerei @Scheck-In Center — http://untp.beer/s/c163146600 #photo
Sat Mar 14 17:23:25 +0000 2015,Kein Bier für Rassisten #bvb @Westfalenstadion https://instagram.com/p/0N2OAZGHbC/
Sat Mar 14 17:14:21 +0000 2015,Hackedicht und den Sieg im Herzen. Ein fantastischer Samstag.
Sat Mar 14 17:02:57 +0000 2015,"Und jetzt alle: WER NICHT HÜPFT DER IST EIN PREUßE, EY EY"
Sat Mar 14 15:56:38 +0000 2015,Wir sind sehr süß.
Sat Mar 14 13:59:11 +0000 2015,@Taddl2001 nicht mal das Bier macht warm
Sat Mar 14 11:46:38 +0000 2015,"Herzliche Grüße von der Süd, liebe #Hansa Fans. #dscfch"
Sat Mar 14 11:35:17 +0000 2015,"@uersfeld heute bodenständig Bier, Wurst und schreien für drei Punkte!!!"
Sat Mar 14 11:30:21 +0000 2015,@phiI94 Wo bist du?
Sat Mar 14 10:07:08 +0000 2015,"Damit eins klar ist, ich bin erwachsen!"
Sat Mar 14 09:17:22 +0000 2015,Sonnenloser Himmel. Zu den Broilers durchs Haus tanzen. Ich kann einen Sonnenstrahl sehen.
Sat Mar 14 09:11:00 +0000 2015,Zähne putzen und dabei ein Bierchen trinken. Ich bin doch wirklich grandios.
Sat Mar 14 09:00:38 +0000 2015,@Johnny_LetsGo Übrigens. Herzlichen Glückwunsch nachträglich. &lt;3
Sat Mar 14 09:00:13 +0000 2015,@SinnEsSucher In nicht mal zwei Stunden geht's los ins Stadion. Da ist das Gang und Gebe das ich jetzt schon trinke. :D
Sat Mar 14 08:58:00 +0000 2015,"So Freunde, ich bin wach, das erste Bier ist aufgemacht. Heute ist Spieltag! Guten Morgen."
Sat Mar 14 02:37:59 +0000 2015,Siehste.So viel Bier noch.Können Sich nicht an die Spielregeln halten.
Fri Mar 13 23:41:21 +0000 2015,"Wenn ich Bier trinke,übergeben ich mir Zahlen von 4 bis 8.Sie stehn für bestimmte Formalitäten.Muß ich mal festhalten.Grins."
Fri Mar 13 23:24:26 +0000 2015,Ich versuche dann mal sogerade noch 5 Bier unter die Erde zu befördern.
Fri Mar 13 22:45:23 +0000 2015,Genießen und etwas für die Umwelt tun. #beer #ale #organic #bio bier #England #uk @Kiosk Em Veedel https://instagram.com/p/0L2RNiTadz/
Fri Mar 13 21:42:15 +0000 2015,der rest... wer kommt noch vorbei????
Fri Mar 13 21:23:55 +0000 2015,@KnalltueteBonn Ich bitte Dich! Ich hätte Bier mitgebracht!
Fri Mar 13 19:41:47 +0000 2015,@Mondbegleiterin und ich kann immer noch nur mir Bier anstossen..:-(
Fri Mar 13 19:18:26 +0000 2015,"@rlaage Abholerei! Jetzt Zwitscherstube. Bier, nix Teeee;-)"
Fri Mar 13 14:11:27 +0000 2015,Zapfhahn-Garderobe. Witzige Idee für alle #Beer Lovers. #Bier #Zapfhahn #Oldschool #retro… https://instagram.com/p/0K7dH4gW9W/
Fri Mar 13 06:09:31 +0000 2015,Ist euch mal aufgefallen wie wunderschön Düsseldorf ist?
Fri Mar 13 05:54:00 +0000 2015,@SinnEsSucher Nenn mich nicht so. :(
Fri Mar 13 05:52:15 +0000 2015,@l33tname Ich schubs dich einfach weg.
Fri Mar 13 05:51:06 +0000 2015,Guten Morgen. Ich bin bestens motiviert für eine Weltherrschaft.
Thu Mar 12 21:14:44 +0000 2015,Trink noch das Bier aus auf die beschissenen tage. Prost 
Thu Mar 12 20:42:21 +0000 2015,Man haut Euch auf Mowl dann geht ein Bier trinken hat früher aufm Kiez auch schon gut geklappt #GNTM
Thu Mar 12 20:33:37 +0000 2015,@blackcayman Bier zu meiner Rechten. &lt;3
Thu Mar 12 20:29:53 +0000 2015,Hab nen' Freund der wohnt hinter einer Kneipe. Beneide ihn ja.
Thu Mar 12 20:28:35 +0000 2015,SIND DAS SCHWABEN? #frauentausch
Thu Mar 12 20:16:26 +0000 2015,Das beste bei Spare Ribs ist: danach 2 komplette Dosen Bier auf Ex zu trinken und das Gefühl zu haben noch 15 zu brauchen 
Thu Mar 12 20:04:33 +0000 2015,@phiI94 Wir brauchen neue. :D
Thu Mar 12 18:13:26 +0000 2015,"@Mykx das heißt ""kein #Bier vor vier"" #Beer #cerveza "
Thu Mar 12 16:46:32 +0000 2015,@a_prigge Das Bier vom Elefanten hast du ja dabei...Kann dir keiner mehr was :-)
Thu Mar 12 12:25:31 +0000 2015,Viel Bier und Hänschenschnitzel. 
Thu Mar 12 07:18:02 +0000 2015,"Samstag wird einfach der perfekte Aileen-Tag. Fußball, Konzert und Bier "
Thu Mar 12 07:09:30 +0000 2015,DAS LEBEN KANN SO SCHÖN SEIN
Thu Mar 12 07:07:04 +0000 2015,Ich singe hier Vereinslieder von Wisla Krakow. Und ich frage mich seit wann ich polnisch kann.
Thu Mar 12 06:56:04 +0000 2015,Draußen ist Sonne. Das macht so Lust darauf sich einfach in den Zug zu setzen und loszufahren.
Thu Mar 12 06:50:30 +0000 2015,@yungeistee Passt doch zu dir.
Thu Mar 12 06:48:24 +0000 2015,Herbert Grönemeyer im Fernseher. Gnaaaaaaaaaarf.
Thu Mar 12 06:33:27 +0000 2015,Wir sollten alle viel öfters zu Fettes Brot abgehen.
Wed Mar 11 21:29:39 +0000 2015,@RuedigerWala aber augustiner ist doch doch ein super Bier. @ifpmuenchen
Wed Mar 11 20:19:41 +0000 2015,"Ich steh mit @aytvau am bhf, sind wir asis wenn wir bier in der and haben?"
Wed Mar 11 12:27:48 +0000 2015,@docsteel @shellhaase join the club ... jetzt erstmal n bier
Wed Mar 11 09:28:34 +0000 2015,"Es ist Bier Uhr! PROST (@ChillArena in Dortmund, Nordrhein-Westfalen) https://www.swarmapp.com/c/6vm7hzwVEuE"
Wed Mar 11 07:52:36 +0000 2015,"@derKoch .. All zu derbes ipa trinken will, ein Bier hat, was man gut den ganzen Abend trinken kann."
Wed Mar 11 06:48:04 +0000 2015,@SinnEsSucher Frühaufsteher!
Wed Mar 11 06:27:06 +0000 2015,"Seht ihr das auch Kinnas? Man wacht auf, schaut raus und es ist einfach hell."
Tue Mar 10 22:05:32 +0000 2015,"DAS Bier zu DER Pizza: goldgelber, honigmilder Dolden Sud vom Riedenburger Brauhaus @485Grad https://instagram.com/p/0EDUsjopXn/"
Tue Mar 10 21:15:48 +0000 2015,"Koln, Germany. Das Good bier. Danke. @Am Rhein, Köln https://instagram.com/p/0D9ocBPmQl/"
Tue Mar 10 21:08:35 +0000 2015,"German bier and food. Das good (@Löwenbräu Köln in Köln, Nordrhein-Westfalen) https://www.swarmapp.com/c/i0INTHqBNG1"
Tue Mar 10 21:03:23 +0000 2015,Dienstag. Meine Freunde sind betrunken. Ich nicht. Ich werde erwachsen.
Tue Mar 10 19:16:35 +0000 2015,alkoholfreies Feierabend Bier
Tue Mar 10 17:08:28 +0000 2015,"Ich bin hoffentlich nicht die einzige die da ein Pferd mit Gewichtsproblemen sieht, oder?"
Tue Mar 10 11:13:15 +0000 2015,Werde das Bier natürlich erst nach der Fastenzeit trinken
Tue Mar 10 11:11:04 +0000 2015,"Ich habe nach dem Einkaufen ein Bier geschenkt bekommen, könnte man den Himmel nennen "
Tue Mar 10 06:27:06 +0000 2015,"Ich finde es ja grundsätzlich richtig ein Zeichen gegen den #RBL zu setzen, aber das gestern vom #KSC war unterste Schiene. #KSCRBL"
Mon Mar 09 20:49:20 +0000 2015,@Nebelmond Kann das überhaupt wer der da nicht weg kommt?
Mon Mar 09 20:32:14 +0000 2015, mit Freunden #brauhaus #unkelbach #kölsch #bier #beer #köln #liebedeinestadt #thisiscologne @Haus… https://instagram.com/p/0BT2ffO506/
Mon Mar 09 18:49:37 +0000 2015,Guten Abend Feierabend wo gibt's Bier???
Mon Mar 09 10:07:11 +0000 2015,@yungeistee Aber Fußball D:
Mon Mar 09 10:06:06 +0000 2015,Und jetzt alle: ILLERTISSEN SPIELT INTERNATIONAL
Mon Mar 09 09:59:01 +0000 2015,@nightsky_de Schlecht.
Mon Mar 09 09:57:40 +0000 2015,Der Pole aus meiner Klasse ist nicht da. SCHNAPPATMUNG
Mon Mar 09 09:18:41 +0000 2015,@poolie Gibt’s Bier?
Mon Mar 09 07:58:23 +0000 2015,Bier!!!! @Köln Domplatz https://instagram.com/p/z_9lN_nKjH/
Mon Mar 09 05:42:08 +0000 2015,Guten Morgen!
Mon Mar 09 05:41:53 +0000 2015,"""In 5 Minuten stehe ich auf."" Eine Stunde später."
Sun Mar 08 21:22:46 +0000 2015,Ist euch mal aufgefallen wie genial Monte einfach schmeckt?
Sun Mar 08 20:27:11 +0000 2015,Ein Bier nach 4 läuft 
Sun Mar 08 19:32:24 +0000 2015,"Nach der Radtour ein Bier trinken (@Chaosdorf in Düsseldorf, North Rhine-Westphalia) https://www.swarmapp.com/atari_megaste/checkin/54fca3aa498ea3f77a28ad52?s=1bFfosULrowmGIeMi63oDuLpDvY&amp;ref=tw"
Sun Mar 08 17:12:46 +0000 2015,@VictoriaBalke Bier nur wenn es Guinness oder Corona ist. Und das auch nur ganz selten.
Sun Mar 08 16:20:20 +0000 2015,@alter_elch meine Frauen haben mich wieder an Grill geschickt. Sind immer die Tore gefallen. Bier trinkt am Grill &amp; ins Handy glotzt
Sun Mar 08 15:57:00 +0000 2015,Nach diesem Spiel erstmal nen' Bier oder 24.
Sun Mar 08 15:55:38 +0000 2015,@PeppersFan87 Du bist ja auch kein Mädchen was so blöd ist und in meine Faust läuft. :D
Sun Mar 08 15:31:34 +0000 2015,traf soeben beim Bier kaufen den Ex meiner Mutter und habe damit wahrscheinlich den Awkward Moment of the Century Award verdient.
Sun Mar 08 15:25:26 +0000 2015,@SinnEsSucher Das war ja nicht mit Absicht. Wirklich.
Sun Mar 08 15:21:44 +0000 2015,@SinnEsSucher Die ist mir zwei Angriffe hintereinander in die Faust gelaufen. :D
Sun Mar 08 15:19:01 +0000 2015,der Frühling kommt bald #früling #spring #primavera #cerveza #bier @Aktiv &amp; Vital Hotel Thüringen https://instagram.com/p/z-LNl3rIh_/
Sun Mar 08 15:18:19 +0000 2015,"Liebes Tagebuch, heute habe ich beim Handball einem Mädchen versehentlich das Gesicht blutig geschlagen. Sie hasst mich jetzt."
Sun Mar 08 14:56:00 +0000 2015,"#sonne #bier #füchsen (@Fuchsjagd in Düsseldorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/cIfWCiJB861"
Sun Mar 08 14:19:18 +0000 2015,"Das erste Bier :) (@Biergarten Schiffmühle in Minden, Nordrhein-Westfalen) https://www.swarmapp.com/c/3uP2odUFcik"
Sun Mar 08 13:28:00 +0000 2015,"Sonne scheint, Himmel blau, Grill an, Bier steht bereit, #servustv läuft, kann losgehen #delpo15 #ebb #forza"
Sun Mar 08 13:27:25 +0000 2015,Nur mal kurz die Lieblinge nachgelesen. Zack. Bier leer. Bestimmt verdunstet. Muss ich jetzt unbedingt nochmal nachstellen
Sun Mar 08 13:18:12 +0000 2015,Gleich Handball. Erstmal nen' Bierchen. Prost!
Sun Mar 08 13:14:37 +0000 2015,"Mit nem Bier auf der Terrasse in der Sonne sitzen. Das muss dieses ""Leben"" sein, von dem man hier manchmal liest"
Sun Mar 08 10:20:26 +0000 2015,"""Und Sie sind?"" ""Chef vom Frühstücksfernsehr."" ""Jut, nächster bitte."""
Sun Mar 08 09:14:05 +0000 2015,@SpringerHerten Wollen ja die Gewohnheiten beibehalten. :D
Sun Mar 08 09:11:57 +0000 2015,"@SpringerHerten Hahaha, guter Witz. :D Ist das Zimmer vom @PeppersFan87."
Sun Mar 08 08:35:55 +0000 2015,"Meine Damen und Herren, mein Aufzug ist aber auch schick in diesem frühen Morgenstunden."
Sun Mar 08 08:11:42 +0000 2015,"@rockeffekt Wenn ich da zuhause bin, dann gerne."
Sun Mar 08 08:08:31 +0000 2015,GUTEN MORGEN
Sun Mar 08 08:07:15 +0000 2015,@PeppersFan87 Dann haben Sie wohl Pech gehabt. :D
Sun Mar 08 01:27:44 +0000 2015,GUTE NACHT
Sun Mar 08 01:20:34 +0000 2015,"Wir philosophieren über Fußball. Ja Leute, ich lebe den Traum."
Sun Mar 08 00:57:29 +0000 2015,@PeppersFan87 Jetzt weißtes ja.
Sun Mar 08 00:51:31 +0000 2015,Rachezug: Ich werde heute Nacht Bilder von ihm machen. Tz.
Sun Mar 08 00:50:52 +0000 2015,Ich mag den @PeppersFan87 nicht mehr. Der will mir sein Shirt nicht schenken.
Sun Mar 08 00:48:42 +0000 2015,Wiedermal in der Laune sich bei alten Bekannten für die Missetaten der Vergangenheit zu entschuldigen…. BIER! :)
Sat Mar 07 23:49:51 +0000 2015,Da die Kerze und irgendwo das Bier. #LastRT
Sat Mar 07 23:38:19 +0000 2015,"Da lief gerade ""Ich fand das ganz große Glück in Osnabrück."" Ich kotze. Zumindest fast."
Sat Mar 07 23:37:27 +0000 2015,"Wenn de' Papierpuscheln hast, da haste gewonnen, Kollege."
Sat Mar 07 22:38:31 +0000 2015,Gleich zu Hause. Langer Tag im Belgien. Sehr viel gutes Bier. Hammer Tag!
Sat Mar 07 22:29:23 +0000 2015,"Stromberg, Bierchen und super Gesellschaft. Ein toller Samstag."
Sat Mar 07 21:58:31 +0000 2015,Schlaft gut! Ob mit oder ohne Bier und Katze! #twoff
Sat Mar 07 19:40:25 +0000 2015,Der @PeppersFan87 und ich waren shoppen. (In Wahrheit ist er Barre-Trinker!)
Sat Mar 07 19:22:41 +0000 2015,".@Piratenlily: @mritschel Wenn nur das Bier Dich versteht, denk mal nach, ob da nicht was grundlegend falsch läuft. Würde mir Sorgen machen."
Sat Mar 07 19:20:42 +0000 2015,"alleine im Hotel, über geschriebenes nachdenken, Gedanken machen, Dinge nicht verstehen und.. naja jetzt Bier, das versteht mich wenigstens"
Sat Mar 07 19:09:12 +0000 2015,Können Sie mir Bier kaufen? &gt;&gt;&gt; NEIN!!!
Sat Mar 07 18:01:45 +0000 2015,@bloggdoch @FinkenkrugDU Tipp vom Profi: kein Chinesisches Bier oder welches mit rosa Elefanten. Und Schnitzel essen!
Sat Mar 07 17:45:54 +0000 2015,Kleine Pause einlegen.Bier trinken das nicht schmeckt.Bis nachher. 
Sat Mar 07 17:27:48 +0000 2015,Ein bisschen feiere ich @sgaspach ja dafür.
Sat Mar 07 17:06:54 +0000 2015,"18:05 - Schnaps, ganz viel Schnaps. Im Hause Fischer läuft Helene."
Sat Mar 07 17:00:51 +0000 2015,Eine kleine Zeitreise in das Jahr 2007.
Sat Mar 07 16:59:40 +0000 2015,"WENN NICHT JETZT, WANN DENN? WENN NICHT HIER, DANN SAG MIR WO UND WANN?"
Sat Mar 07 16:48:30 +0000 2015,Die Nummer Eins im Pott trinkt Bier! #s04
Sat Mar 07 15:52:35 +0000 2015,Lecker Kuchen mit Bier und Schnaps. #hauptsachemitliebenmenschenzusammen @Spangdahlem (home) https://instagram.com/p/z7qQi4sANU/
Sat Mar 07 15:48:20 +0000 2015,Dafür halten heute @Kleine_Me und @DonSeppone83 die (Bier)Fahne hoch 
Sat Mar 07 14:27:51 +0000 2015,Trikot an Radio an #NDR90.3 Bier kalt Von mir aus kann #MissionHeimsieg beginnen #HSVBVB #nurderHSV
Sat Mar 07 09:44:35 +0000 2015,"@Corny1981 na ja soviel Vorwürfe, soviel ""ich bin besser als du und weiß alles beaser""... aber Bier war gut :)"
Sat Mar 07 08:00:36 +0000 2015,Um 8:30 Bier und Vodka trinkende Spackos.....wo hamse die denn rausgelassen?
Fri Mar 06 21:42:35 +0000 2015,"EINER GEHT NOCH, EINER GEHT NOCH REIN. Prost!"
Fri Mar 06 17:12:27 +0000 2015,@DieTalentWerker ach Premium Bier gibt's auch? @AugenhoeheFilm @HppBerlin @premiumcola
Fri Mar 06 16:12:17 +0000 2015,"@VolkerBonacker Ich bin nen' riesen Fan von Pyro, aber was die ihren Verein damit antun merken die meisten gar nicht."
Fri Mar 06 16:09:36 +0000 2015,"@VolkerBonacker Rostock halt. Wobei, wir haben uns von denen ne Fahne ziehen lassen. :D"
Fri Mar 06 16:03:02 +0000 2015,@VolkerBonacker Neben Dresden meine besten Freunde. &lt;3
Fri Mar 06 15:47:58 +0000 2015,@phiI94 Samstag Block Drei!
Fri Mar 06 15:07:48 +0000 2015,@kcirtapw bier oder koks und nutten?
Fri Mar 06 12:29:18 +0000 2015,@phiI94 Schon gesehen &lt;3
Thu Mar 05 22:23:40 +0000 2015,Nochn Bier? Ja. Was für eins. Cuba libre! Alles klar.
Thu Mar 05 20:33:51 +0000 2015," "" Sieben Fässer Bier .die hätt ich jetzt gern von dir.. "
Thu Mar 05 12:33:04 +0000 2015,*rülps*
Thu Mar 05 09:31:47 +0000 2015,"Männerprobleme: Fußballverein verkackt, Dübel passt nicht, Bier leer, die Drachen greifen das Dorf an. Frauenprobleme: Frauen."
Thu Mar 05 06:54:26 +0000 2015,Wenn dich der Capo des Vereins halbbetrunken anruft und immer noch vor Freude weint. #dscsvw
Thu Mar 05 06:23:44 +0000 2015,"Guten Morgen. Einen wunderschönen guten Morgen. Das gestern war kein Traum, oder? #dsvsvw"
Wed Mar 04 19:30:16 +0000 2015,@bier_vor4 boaarhh ich beneide dich sehr
Wed Mar 04 18:32:40 +0000 2015,"Gestern beim @hmkv_de war ich kreativ und hab über die 3 Hashtags nachgedacht, heute beim @twruhr recycel ich einfach. #bier #wein #weltweit"
Wed Mar 04 17:34:57 +0000 2015,@blackcayman Sollte ich mal machen.
Wed Mar 04 12:42:43 +0000 2015,Es stehen so liebe Sachen an unserer Wand. <3
Wed Mar 04 06:37:38 +0000 2015,Die Weltstadt der Küchen - 32584 Löhne #MoMaWetter
Tue Mar 03 21:33:11 +0000 2015,Morgen heißt es Viertelfinale. Hoffentlich! #dscsvc
Tue Mar 03 20:38:05 +0000 2015,Einfache Formel: Erkältung Weg + Heimsieg = Bier!
Tue Mar 03 19:36:45 +0000 2015,"Erzquell Lampe, dass Fass leuchtet.... #Erzquell. #Germany. #Siegen. #Fun. #Siegerland. #Bier. #Erzquellpils."
Tue Mar 03 19:33:55 +0000 2015,Kartoffeln mit Quark essen und Bier trinken. Alleine. Wie eine Prinz...ah mowl
Tue Mar 03 19:20:41 +0000 2015,"Heute Kalifornische Sonne im Glas. Sehr herbes Bier mit Orangen-, Grapefruitnote. @Mon Petit Café -… https://instagram.com/p/zxu5MOp_1c/"
Tue Mar 03 19:20:27 +0000 2015,"@GCGreendragon68 Radfahren nach dem Sport ist wie zu Hause Bier trinken, nachdem man sturzbesoffen aus der Kneipe kommt."
Tue Mar 03 18:39:04 +0000 2015,Ich lache immer noch.
Tue Mar 03 18:11:16 +0000 2015,"Bier, Limo, einen kubanischen Todescocktail &amp; ein Pastramisandwich. (@Maxie Eisen in Frankfurt am Main) https://www.swarmapp.com/c/1pG9lOezp5U"
Tue Mar 03 06:07:08 +0000 2015,"Kurz nach 7... Und der typ hat grad sein drittes Bier geöffnet innerhalb von 10 Minuten... Kein Wunder, dass der Typ arbeitslos ist..."
Mon Mar 02 20:33:46 +0000 2015,"Hart studentisch in der WG. Wir trinken Bier, essen Nudeln mit Fertigsoße und diskutieren hochphilosophisch zu #hartaberfair"
Mon Mar 02 19:33:49 +0000 2015,Ab nächste Woche geht es wieder los! Biken und Bier ( #bub )
Mon Mar 02 15:48:56 +0000 2015,"Freunde, es ist etwas passiert womit niemand gerechnet hat. ICH.VERSTEHE.MATHE."
Mon Mar 02 11:53:39 +0000 2015,es is übrigens Sommer Kinder ... wir sollten uns mit Bier und Kippen in den Park setzen &gt;;) 
Mon Mar 02 09:30:39 +0000 2015,Ich muss jetzt in 15 Minuten ein Referat vorbereiten. Erstmal die Sanitäreneinrichtungen besuchen.
Mon Mar 02 05:39:10 +0000 2015,Ich habe nur die Augen aufgemacht und hasse jetzt schon alles. Montage sind scheiße. Guten Morgen!
Sun Mar 01 22:00:42 +0000 2015,"Kinder, ich sach' euch: #Ich #Liebe #Brauhäuser und #Bier "
Sun Mar 01 21:03:00 +0000 2015,Ich hab noch Bier im Kühlschrank. #22UhrNonMention
Sun Mar 01 16:20:13 +0000 2015,Bier (@Römer Bembel in Frankfurt) https://www.swarmapp.com/c/5u7Uk7PiLu3
Sun Mar 01 12:50:43 +0000 2015,Also wegen mir - is hier zu wenig Bier...
Sun Mar 01 09:53:59 +0000 2015,Ich würde gern mit dir über meinen Alkohol-und Tabakkonsum reden. Aber bring Bier und Kippen mit.
Sun Mar 01 06:59:13 +0000 2015,"Blase gelehrt, Bier aufgefüllt. Erste Raste vor den 3 Auswärtspunkten. #f95auswärts #ffcu95"
Sun Mar 01 03:38:44 +0000 2015,@_BNDCT_ Gute Nacht. &lt;3
