Thu Oct 31 17:37:58 +0000 2019,Alles wirr bei mir und nicht vom Bier
Thu Oct 17 13:59:07 +0000 2019,"Mach deine Checkliste für den kommenden Samstag - ausgiebig frühstücken und „lecker Bier kaufen“ auf die Einkaufsliste schreiben - ab 12 Uhr, am besten zu Fuß, mit Einkaufskorb ins Braustättchen, Am Kampe 1 in… https://www.instagram.com/p/B3uMtVlody4/?igshid=ci2enpv2flq3"
Thu Oct 17 11:23:49 +0000 2019,"Kann mir keine #Kroniletten leisten, weil ich zu wenig Bier gesoffen habe. So traurig. "
Thu Oct 17 10:22:14 +0000 2019,Zum Mittagessen gab es für mich das vegetarische Gericht im Ehrengastpavillon (Gerste mit Gemüse und Kräutern) und natürlich ein norwegisches Bier (IPA). Das Ehrengastrestaurant ist dieses Jahr glücklicherweise… https://www.instagram.com/p/B3tz4qdCJmm/?igshid=ziel5lwpsgbk
Wed Oct 16 04:54:46 +0000 2019,"Und was soll ""Ale ist kein Bier""? Ein Pale Ale oder ein IPA sind tausendmal ein besseres Bier als eines Pilsner Art. Und als ein Weissbier sowieso. ^^ "
Tue Oct 15 18:51:45 +0000 2019,"Dann wird resümiert, es flossen 5000000 Maß Bier und 1000 Liter Blut!! "
Tue Oct 15 18:37:39 +0000 2019,Wunderbar. Diese Aussicht . #sauerbraten #altbier #labrador #bier #beer #düsseldorf #heimat #nrw #love #Schumacher
Tue Oct 15 15:19:39 +0000 2019,Er gab mir (und anderen) mal an der Kreuzeiche in Reutlingen ein Bier aus und klönte länger mit uns. Das war ein schöner Abend. Top-Typ!
Tue Oct 15 10:00:55 +0000 2019,"Kasten Bier, dass die WestfalenBahn nicht im Ansatz pünktlich abfährt u ankommt?"
Mon Oct 14 17:18:26 +0000 2019,"Ich hätte beim dritten Bier viele lustige Geschichten erzählt über Homi und PT in TÜ. Wie ich eine Predigt halte, habe ich weder an der Uni noch im PS gelernt. Sondern klassisch durch Bücher und durch Vorbilder. Schön, dass es so viele gibt und dass für jede*n was dabei ist."
Mon Oct 14 17:10:14 +0000 2019,"Wenn du für eine Veranstaltung erst das Ticket kaufst und danach im Einladungsschreiben den 20%-Rabattcode entdeckst. Kauft euch ein, zwei Bier davon, @Herr_Ziegler! #bbc2020"
Mon Oct 14 15:38:09 +0000 2019,"Samstag war schon Mega Chillig, einfach mal Beine hoch, Bier auf, den Stream und natürlich auch den Grill anschmeissen, dazu gab es noch feinste Livemusik vom jzumjzums später zum Abend hin, ein gelungener Abend! Was… https://www.instagram.com/p/B3mpqAhIrsQ/?igshid=925ddsjl6gbg"
Mon Oct 14 15:36:33 +0000 2019,"So meibe Luebe TL, Ich wünsche euch allen schonmal einen schönen Feierabend, Kommt gut Heim! Und Genießt das, Feierabend Eis, Bier, Schnitzel oder was auch immer! "
Mon Oct 14 14:21:06 +0000 2019,"#Florida Zwei Männer haben ein Video von sich auf Social Media gestellt, auf dem sie dem Reptil Bier einflößen. https://www.berliner-kurier.de/news/panorama/wie-kann-man-nur--maenner-quaelen-alligator-mit-einer-dose-bier-33298954"
Mon Oct 14 10:18:34 +0000 2019,Samstag! 19. Oktober! Ab 12 Uhr! BOCKBIERANSTICH @orcabrau #bockbier #roterbock #bier #burger #kochraum #livemusik #nürnberg #fürth #erlangen #franken #franconia #franconianbeer #bierfranken #knoblauchsland… https://www.instagram.com/p/B3mFFTOI53I/?igshid=mokk6hv3xooy
Sun Oct 13 23:12:03 +0000 2019,"Eine Stunde um reinzukommen, eine Stunde um einen Tisch zu finden und eine Stunde um ein Bier zu bestellen, aber es hat sich gelohnt! em Oktoberfest München https://www.instagram.com/p/B3k4z2fApZB/?igshid=cn043o4k8pob"
Sun Oct 13 19:45:42 +0000 2019,Hilft immer und ein Konter Bier 
Sun Oct 13 19:41:44 +0000 2019,"Übrigens, die Mehrzahl der #Flüchtlinge sind #Muslime. Und die trinken keinen Alkohol. Auch kein #Bier. Und somit auch kein #Freibier. #DLT19 #Seehofer"
Sun Oct 13 19:40:57 +0000 2019,"Übrigens, die Mehrzahl der Flüchtlinge sind Muslime. Und die trinken keinen Alkohol. Auch kein Bier. Und somit auch kein #Freibier."
Sun Oct 13 16:43:59 +0000 2019,"Gut, dass ich schon 1-2 Bier drin hatte War sehr nett euch, wenn auch nur kurz, kennengelernt zu haben. Nächstes mal gerne länger."
Sun Oct 13 15:41:08 +0000 2019,Das war dann das unmissverständliche ominöse Zeichen für dich auf Bier umzuswitchen 
Sun Oct 13 15:21:38 +0000 2019,"Intensiver Geschmack, fettes Brot. - Drinking a Zoigl by Scherdel Bier @Gasthof Bauernhannla — "
Sun Oct 13 14:53:17 +0000 2019,Warum muss man 30 Minuten auf sein Bier warten? #andersaufdemturmberg
Sun Oct 13 14:52:40 +0000 2019,Überraschend Gut! - Drinking an Allgäuer Büble Bier Edelweissbier by Allgäuer Brauhaus @EDEKA Wolf &amp; Wolf Riesenbeck — 
Sun Oct 13 13:52:24 +0000 2019,Ich glaube beide Offenses haben gestern ne Runde Bier genossen. Vielleicht auch 3-4. Da läuft ja einiges schief #gamepass #NFLUK #CARvsTB #nflnetwork
Sun Oct 13 12:02:37 +0000 2019,"Weißbier war leider enttäuschend. Es schmeckt zwar durchaus nach Bier, aber eher so wie der Geruch im Zug wenn jemand vor 10 Minuten Dosenbier verschüttet hat."
Sun Oct 13 11:07:26 +0000 2019,"Dosen sind meist ökologischer als Glasflaschen, sie sind besser fürs Bier u leichter und sicherer zu transportieren. Der Rest ist eine Geschmacksfrage."
Sun Oct 13 09:22:05 +0000 2019,"Neu im Baan Chang Hensens Hopfenschelle ist Back in Black IPA Schwarzbier, so harmonisch gehopft wie alle Hensen Biere mit den zur Liebe zum Detail ausgesuchten Hopfen für jedes besondere Bier. Weil wir eben nur… https://www.instagram.com/p/B3jZ0rDIZY8/?igshid=1mmsxxmd8oc7b"
Sun Oct 13 00:30:20 +0000 2019,Hätte wirklich Lust auf ein Treffen mit Bier und #Glyphosat als Thema. 
Sat Oct 12 21:46:20 +0000 2019,Ich wenn ich zwei bier hatte
Sat Oct 12 20:16:20 +0000 2019,Bier in der Trinkflasche gibt Ärger mit dem Trainer. #bereitsgetestet
Sat Oct 12 18:55:40 +0000 2019,"jo, bei uns auch. 8 Jungs mit 4 Kästen Bier auf dem Weg zu Olé auf Schalke. War interessant..."
Sat Oct 12 15:43:36 +0000 2019,"Ah, fellow franconian :) Ja, Bamberg ist toll (auch für Bier). Für Crafts fällt mir da allerdings jetzt nur die Bierothek ein. Die haben aber garantiert ein Milkshake IPA zum testen."
Sat Oct 12 14:52:44 +0000 2019,Spurbreite 1435 - Drinking a Grüner Vollbier Hell / Grünerla by Grüner Bier @Hexenhäusle — 
Sat Oct 12 12:33:36 +0000 2019,Ich hasse Bier. 
Sat Oct 12 09:35:13 +0000 2019,Flaschen gespült und desinfiziert #Bier #bierbrauen #kirchlinteln @Kirchlinteln https://www.instagram.com/p/B3g2iJxo2Sf9j2fvSmi-0B2Y7WOzPduOaEOY7c0/?igshid=1dzp8bj2oiqhe
Sat Oct 12 09:17:50 +0000 2019,Flaschen waschen #bier #bierbrauen #kirchlinteln @Kirchlinteln https://www.instagram.com/p/B3g0fHiIVA5WpeveN8fcIIyA6VEqwVfRxr5CSA0/?igshid=an211xw82128
Sat Oct 12 08:22:38 +0000 2019,"Wenn ich @forstermusic wäre, dann bräuchte ich nach dem ersten Schock ein Bischoff Bier aus #Winnweiler. #Forster vs. #Amthor"
Sat Oct 12 08:17:48 +0000 2019,"In dem Zusammenhang: Laktose in Bier hat nen ähnlichen Effekt. Killt sämtliche Aromaspitzen. Da braucht man echt nicht erst Tonnen an superteurem Aromahopfen reinkippen, wenns am Ende dann eh komplett flachgezuckert wird."
Sat Oct 12 05:32:27 +0000 2019,IT‘S ALWAYS TIME FOR A BEER / ES IST IMMER ZEIT FÜR EIN BIER! #beer #bier #piva #pivo #cerveza #biera #bieruhr #beeroclock #hhh #hashhouse #hashhouseharrier #hashhouseharriers #frankfurthash… https://www.instagram.com/p/B3gawAiISMq/?igshid=1fgh213a46agd
Sat Oct 12 00:21:43 +0000 2019,"Alle von euch, die dem #haltdiefresse-Rufer ein Bier ausgeben wollen, hsben hier die Möglichkeit dazu: (Für euch gecheckt, ist vertrauenswürdig (gerne RT)) https://paypal.me/pools/c/8iZpquiecX"
Fri Oct 11 22:59:42 +0000 2019,"Pommes, Bier und guter Freund ... beste Kombination "
Fri Oct 11 22:43:55 +0000 2019,"Tödliche Würstchen, Bakterien in der Milch und jetzt auch noch ABGELAUFENES Bier. DANKE MERKEL"
Fri Oct 11 21:15:48 +0000 2019," Liveticker aus dem Festzelt: #1 Besucher im falschen Bereich #2 Kellner schlägt Besucher #3 Freund eilt zu Hilfe, kippt dem Kellner ein Bier über den Kopf #4 Kellner schlägt auch den Kumpel nieder. #5 Die #Wasenstreife kümmert sich um die schlagfertige Bedienung"
Fri Oct 11 20:06:05 +0000 2019,So hab ich auch mal gewohnt. Jetzt wohn ich 200 Meter von ner 24/7 Tanke entfernt und hab in 4 Jahren gerade 2 mal dort Bier geholt. Ich werd alt.
Fri Oct 11 19:51:55 +0000 2019,"Hoffentlich mit ausgestattetem Bistro. Heute gab es im ICE 729 anfänglich nur Plastikbecher und kein essen. Ab Köln wurde es dann besser, bis auf das keine Kühlung fürs Bier vorhanden war. "
Fri Oct 11 19:11:38 +0000 2019,#Prost - Drinking an Allgäuer Büble Bier Edelweissbier by Allgäuer Brauhaus @Friedhof Viersen — 
Fri Oct 11 18:19:24 +0000 2019, Das war wohl eine Hopfenkaltschale zu viel Das letzte Bier hat sich ein französischer Gast auf unserer Wache nochmal durch den Kopf gehen lassen...Bon appétit #Wasenstreife
Fri Oct 11 17:22:35 +0000 2019,#Prost - Drinking an Allgäuer Büble Bier Edelweissbier by Allgäuer Brauhaus @Friedhof Viersen — http://untp.beer/s/c815617120
Fri Oct 11 16:24:04 +0000 2019,Der @thorstenfirlus arbeitet nunmal in dieser komischen Stadt am Rhein. Da gibt es ja kein richtiges Bier...
Fri Oct 11 15:24:45 +0000 2019,"Wenn Du noch ein Bier an die Wand nagelst, wäre dein Kunstwerk vom lebenden Original kaum zu unterscheiden "
Fri Oct 11 14:12:36 +0000 2019,Deutschlandtag der Jungen Union in Saarbrücken: Zur Urwahl des Kanzlerkandidaten gibt’s eine Auswahl an Bier... @Saarbrücken https://www.instagram.com/p/B3exenToMW4/?igshid=e14lq294rjvk
Fri Oct 11 12:31:22 +0000 2019,So. Hamburg ich komme. Bisschen Fußball. Bisschen Bier.
Fri Oct 11 10:13:07 +0000 2019,"Er hat den Style, das Geld und das Bier."
Fri Oct 11 06:29:22 +0000 2019,Bei Netto ist Bier im Angebot Welche Krankheiten übertragen Microinfluencer?
Fri Oct 11 06:26:35 +0000 2019,"Übrigens: nur weil jemand ein #Arsch zu sein scheint, mit dem man nie, nie, niemals ein #Bier trinken gehen würde, kann er dennoch ein #Demokrat sein. So allgemein gesprochen."
Thu Oct 10 21:53:48 +0000 2019,Komm nach Köln. Wir haben gutes Bier 
Thu Oct 10 19:04:15 +0000 2019,Bier und Fußball? 
Thu Oct 10 16:43:10 +0000 2019,"Leckeres Schmankerl, der Martini-Trunk vom Winkler Bräu Privatbrauerei & Gutshofhotel aus Lengenfeld #bier #greding #altmühltal #wirinbayern #bayern #franken #fränkischesseenland #roth #bauerkeller #drinkporn #saisonal #kommvorbei #heimat #regional #brauerei #durstig"
Thu Oct 10 16:36:14 +0000 2019,"Nazi wg starter pack: - NuR wOcHeNEnDhEiMfAhrER - Burschenschaft Germania - nur männer - ekelhaftes billig süff bier - """"""stress"""""" mit den nachbarn"
Thu Oct 10 16:35:43 +0000 2019,"Ich hoffe, du bekommst auch Export-Bier!"
Thu Oct 10 16:00:43 +0000 2019,Bestehe jetzt halt drauf dass @V3n0mTV mir jedes Bier mit diesem Ausdruck bringt.
Thu Oct 10 14:45:57 +0000 2019,@SIM_Station kümmert sich bei der #InSim2019 um das Wesentliche. // @inpass_gmbh #Simulation #patientsafety #bier 
Thu Oct 10 14:09:22 +0000 2019,"Nur weil Du mit dem zweitbesten Bier zufrieden bist, muss das kein Massstab für andere sein."
Thu Oct 10 14:06:53 +0000 2019,"Das kann doch nur ein von @simack2118 bezahlter agent provocateur schreiben...Ožujsko kein Bier? Als nächstes erzählt mir hier jemand, dass der FC Bayern Fans hat &amp; nicht nur zahlendes Publikum ;)"
Thu Oct 10 12:38:12 +0000 2019,Duft muss natürlich Frolic oder Wauzi Dreams. Ich stell mir das schon gerade bildlich vor. Ihr alle in som Blubberpool mit Hunde Bier un so.... 
Thu Oct 10 12:26:50 +0000 2019,"Ja wenn er kein bier Poster, laufen die follower weg "
Thu Oct 10 04:52:49 +0000 2019,Wenn das Bier vorm Rückflug nur nicht so teuer wäre...
Wed Oct 09 19:30:18 +0000 2019,"Dazu musst du ein Eguzki Arrosa trinken! Sehr leckeres, baskisches Bier!"
Wed Oct 09 18:49:37 +0000 2019,Schweigeminute bei #GERARG. Irgendein Otto gröhlt in die Schweigeminute die Nationalhymne. Ein anderer brüllt ihn an: „Halt die Fresse!“ Kann jemand dem Mann ein Bier holen? Danke! #gegenjedenAntisemitismus
Wed Oct 09 18:21:55 +0000 2019,"Ich werde mich durch die Bier-Karte trinken (@Riegele WirtsHaus in Augsburg, Bayern) https://www.swarmapp.com/c/kJjkxduTHMr"
Wed Oct 09 15:21:33 +0000 2019,Noch nie getrunken Mag Bier nicht so..
Wed Oct 09 13:12:00 +0000 2019,"Das ist der Traum, eine alte frau zu sein die ständig in einer Bar abhängt, Pizza isst und Bier trinkt Das ist der Traum von dem King gesprochen hat!!! Das will ich auch "
Wed Oct 09 12:26:14 +0000 2019,"Früher hatte ich um 14:00 Uhr bei Rock am Ring ne halbe Kiste Bier intus. Heute kippe ich eine halbe Flasche Bier* weg, die beim Backen eines Treberbrotes übriggeblieben ist, weil's ja grad mal Mittag ist &amp; ich gleich die Kinder aus der Kita hole. *Zu meiner Verteidigung: Kölsch"
Wed Oct 09 12:23:04 +0000 2019,"Haha Veltins. ""Bier"". Bei Grevensteiner dachte ich bislang an ne Apfelsorte."
Wed Oct 09 06:55:40 +0000 2019,"Der Verband ist gewechselt, geht schon Bier ???"
Wed Oct 09 06:33:52 +0000 2019,"Erdarbeiter, ich bringe euch Erdnüsse und Bier!"
Tue Oct 08 22:11:44 +0000 2019,Sitze grade mit nem Bier vorm Laptop und feier die neue Simpsons Episode xD Habs aufgegeben mich abzufucken und bin ne Lisa 
Tue Oct 08 19:33:40 +0000 2019,"Manche Menschen ey. ICE, sieben Minuten vor der Abfahrt. Kollegin bereitet das Restaurant vor. Schreie im Bistro, warum es in dem Scheißladen noch kein Bier gibt."
Tue Oct 08 18:05:40 +0000 2019,"Augsburger Bier-Tasting, Teil 3 - Drinking a Bayerisch Hell by Schwarzbräu @Dorint Hotelbar — "
Tue Oct 08 17:45:43 +0000 2019,Drinking a DBB Session IPA by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c814742207
Tue Oct 08 17:33:39 +0000 2019,"Augsburger Bier-Tasting, Teil 2 - Drinking a Celtic by Thorbräu @Kongress Am Park — "
Tue Oct 08 17:17:37 +0000 2019,"Augsburger Bier-Tasting, Teil 1 - Drinking a Maximilian's Kellerbier by Thorbräu at @dorint_hotels —"
Tue Oct 08 17:08:38 +0000 2019,So der Kleine hat erfolgreich sein erstes Mal #HandMundFuß-Seuche überstanden. Jetzt muss sein Vater nur noch das Nesselfieber wegbekommen und unsere Fellnase den Besuch morgen in der Tierklinik überstehen - dann reiche man mir eine Kiste Bier und ruhige 20 Minuten #thatslife
Tue Oct 08 16:33:36 +0000 2019,Das Bier ist da!! Wir freuen uns wieder am heutigen #Bierdiplomdienstag auf das #craftbeertasting „Modere Biervielfalt aus Europa“ mit der #CraftBeerCompanyStuttgart craftbeerco_str und den Bieren v.l.n.r.… https://www.instagram.com/p/B3XTO74Bfs_/?igshid=1fa96eokyhtr8
Tue Oct 08 16:11:56 +0000 2019,"Zweiter Tag Uni, noch kein Bier getrunken - aber zum Joint eingeladen. Läuft."
Tue Oct 08 15:52:47 +0000 2019,"Super Sortiment, flinke Angestellte und eine traumhafte Auswahl an gekühltem (!) Bier (@Rewe Am Kö in Augsburg, Bayern) https://www.swarmapp.com/c/kYBBoIIs41c"
Tue Oct 08 15:33:23 +0000 2019,"1 Backfisch mit Kartoffelsalat, 2 Fränkische mit Sauerkraut, Schaschlik mit Brötchen, bissl Gebäck, a Lachssemmel und dazwischen ungefähr 6 Bier und 4 Federweißer. Sprich es war ein gelungener Betriebsausflug. "
Tue Oct 08 13:34:50 +0000 2019,Geld sparen Warmes Bier Erfüllt den gleichen Zweck 
Tue Oct 08 13:05:39 +0000 2019,"Ist Twitter an sich nicht schon skurril genug? Hier treffen sich fremde Menschen und verabreden sich, sich demnächst mal auf ein Bier zu treffen. Skurril - das finde ich auch noch gut obwohl Oma immer gesagt hat ich soll mit Franken vorsichtig sein "
Tue Oct 08 12:21:18 +0000 2019,"Ist das irgendwie witzig wenn man Bier sagt. Es ist okay, wir sind alle über 18. Haha Alkohol wtf"
Tue Oct 08 07:44:25 +0000 2019,"War heute morgen einkaufen, aus Gründen... Man hat mich ernsthaft mit 24 Jahren immernoch nach einem Ausweis für Bier gefragt! Hab mich aber gut gehalten, wenn man denkt ich wäre 15 Jahre alt... "
Tue Oct 08 07:03:05 +0000 2019,Das ist der heilige Bier-Pong Schrein! 
Tue Oct 08 05:49:44 +0000 2019,Für Bier ist es nie zu früh.
Mon Oct 07 19:57:01 +0000 2019,Wer sowas sagt hat von Bier echt keine Ahnung
Mon Oct 07 19:34:07 +0000 2019,Stimmt. Da hätte ich dafür ein Bier bekommen
Mon Oct 07 19:22:57 +0000 2019,Hier wird sich gerade darüber beschwert dass das Bier in anderen Ecken Essens 1.80 statt 1.30 kostet. Ich liebe die Preise im Pott. Ich bin gleich satt und leicht düdelig für unter 10 Euro.
Mon Oct 07 18:57:41 +0000 2019,Bier-Durst - Drinking a König Rotbier by König Brauerei @Home of Ostwestf4le — http://untp.beer/s/c814540250
Mon Oct 07 18:33:34 +0000 2019,Bier streichen. 
Mon Oct 07 18:33:08 +0000 2019,"Wusste ich doch, Jetzt schmeckt das Bier, in Lüdenscheid "
Mon Oct 07 18:12:55 +0000 2019,Aber bitte mit Bier statt Minzwasser genießt es. Well deserved 
Mon Oct 07 15:58:04 +0000 2019,"Wir feiern am Samstag unser 1 jähriges, MIT EUCH. EINTRITT FREI. Gaming und mehr ab 16 Uhr, ab 23 Uhr dann Party mit unserem DJ Timo. Bier gibt es für 2,23 und Wodka-E für 5,23 Wir freuen uns auf Euch! "
Mon Oct 07 15:30:33 +0000 2019,Möglicherweise sacke ich gerade auf ein #Feierabend Bier im @DonnaMiaSaarlou ab. Möglicherweise habe ich mir dazu was Leckeres zum Essen bestellt und nur so ganz möglicherweise wird es gleich sehr lecker. &lt;3 #Gönnung
Mon Oct 07 13:58:42 +0000 2019,Drinking a Paulaner Oktoberfest Bier by Paulaner Brauerei @Ludwigs — 
Mon Oct 07 09:24:09 +0000 2019,7 Bier = eine Mahlzeit 
Mon Oct 07 08:45:40 +0000 2019,"UND: Für jedes Bier das einem Nazi nicht verkauft wird, trinke ich drei entspannt mehr! #keinkölschfürnazis #meinearmeleber"
Sun Oct 06 19:52:07 +0000 2019,Gute Nacht Sascha 
Sun Oct 06 19:35:06 +0000 2019,"Der Bierkonsum ging in diesem Jahr um 200.000 Maß Bier auf 7,3 Millionen Maß (das sind knapp 5 Millionen Liter) zurück #Wiesn #Oktoberfest #Wiesnstatistik"
Sun Oct 06 18:59:08 +0000 2019,Ich kann ja nicht mal Tweets lesen und du meckerst über Streamen! P.S. Mein Bier ist leer. 
Sun Oct 06 18:54:04 +0000 2019,Das war doch Allgäuer Bier..? #Polizeiruf110
Sun Oct 06 18:53:31 +0000 2019,Es wird Zeit das @kekxsi nach Hause kommt sonst muss ich wirklich noch aufstehen um Bier zu holen.
Sun Oct 06 17:32:29 +0000 2019,Bier und Jägermeister... 
Sun Oct 06 16:28:19 +0000 2019,Außerdem habe ich kein kleines Bier mehr 
Sun Oct 06 14:53:40 +0000 2019,Stilleben: Bier und Ehefrau im Zelt - Drinking a Premium Lager by Fürstlich Fürstenbergische Brauerei @Fürstenbergzelt — 
Sun Oct 06 14:33:17 +0000 2019,Wieder ein Beleg für die These: „Es wird einfach zu wenig gesoffen.“ - Oktoberfest-Bilanz: Weniger Bier - Rekord bei Alkoholfahrten https://spon.de/afzOh via @SPIEGELONLINE
Sun Oct 06 10:57:37 +0000 2019,"Bier ab vier gilt nicht am Wochenende, oder? ODER? - Drinking a Drunken Sailor by @CREWrepublic @Home of Ostwestf4le — http://untp.beer/s/c814046835"
Sun Oct 06 09:26:35 +0000 2019, wechselt nun in den Modus DER SPIELTAG und macht sich unter der Dusche ein Bier auf... #BMGFCA #fump
Sun Oct 06 08:28:21 +0000 2019,"Das erste kann ich nicht mal lesen, ohne ein Bier trinken zu wollen..."
Sat Oct 05 20:10:16 +0000 2019,Halt mein Bier
Sat Oct 05 20:03:02 +0000 2019,"Beim Kochen heute schon Mal ein Weizen Bier getrunken und schwups, bin ich VOLL , ja ich vertrage so gut wie keinen Alkohol mehr , dann schlafe ich auch gleich gut ein FELDBERGFIGHTER… https://www.instagram.com/p/B3P80G-IWGd/?igshid=13lu0i26gzf6r"
Sat Oct 05 18:41:51 +0000 2019,@MartinSonneborn wann kann ich denn nä. Woche mit meinem Europa-Abgeordneten in Brüssel abrnds ein Bier trinken? Zwinkersmiley
Sat Oct 05 18:23:55 +0000 2019,First World Problems: Dein Kumpel braut eigenes Bier und du weißt nicht was du bei @untappd eintragen sollst
Sat Oct 05 17:50:49 +0000 2019,Bier. Fußball Overwatch. Nach Fußball Kneipe. Perfekt.
Sat Oct 05 17:48:38 +0000 2019,"Wenn es schon nicht mit #SCFBVB geklappt hat, dann schmeckt wenigstens das Bier - Drinking an Easy by @CREWrepublic @Home of Ostwestf4le —"
Sat Oct 05 16:14:47 +0000 2019,Heute war ich das erste Mal beim @FrankfurtMrc Crewrun. Anschließend gab's noch ein Bier. Hat Spaß gemacht neue Leute zu treffen. 
Sat Oct 05 15:16:30 +0000 2019,s/o an den kleinen jungen der heute mit alkoholfreiem bier rumgelaufen ist
Sat Oct 05 14:27:01 +0000 2019,Wir bieten euch heute hausgemachten Käsekuchen und Kirschstreusel....Lust auf Kaffee oder ein Mannebacher Bier????? #bieressig #biere #bier #biernudel #biernudeln #essig #event #feiern #family #gemeinsam #guttrinken… https://www.instagram.com/p/B3PWXMfC6vL/?igshid=83yxqba2dir6
Sat Oct 05 12:44:28 +0000 2019,du hast bier vergessen.
Sat Oct 05 12:31:53 +0000 2019,"Irgendwie ein typischer #Samstag. Einkaufen, Kinder bespaßen, Couch, gammeln... Später gibt’s noch Besuch vom Nachbarn. Dann gibt’s wohl ein #Helles... #Bier"
Sat Oct 05 12:21:35 +0000 2019,Old hops but good malt base. No rating even though - Drinking a Triple 7 by Brauprojekt 777 @BIER MACHT SCHÖN — 
Sat Oct 05 08:49:43 +0000 2019,Guten morgen vom Bergerfeld Das Sieger Bier hilft immer 
Sat Oct 05 05:31:42 +0000 2019,Dann schütt‘ halt keine Limo ins Bier! #1516 #reinheitsgebot
Fri Oct 04 22:53:21 +0000 2019,"Ich meinte eigentlich nur das Bier am Abend aber stimmt. Da waren die ersten gekommen, wegen zu viel Haut drauf achte ich aber meist gar net "
Fri Oct 04 21:40:37 +0000 2019,"Pilze, Gemüse und Tofu für den #hotpot gab es natürlich auch, und leckeres Bier. "
Fri Oct 04 20:43:18 +0000 2019,Danke .jetzt noch Kleinigkeiten .hatten sogar noch Bier von unserem Einzug 
Fri Oct 04 19:35:30 +0000 2019,Melde später mich mit einem Bier. 
Fri Oct 04 18:51:23 +0000 2019,"Hab gerade ein Tinderdate mit einer Bier Empfehlung ruiniert. Er liebt es, sie hasst es. Ich glaub ich zieh mit dem Typen gleich noch im die Häuser "
Fri Oct 04 18:28:08 +0000 2019,Und vielleicht noch nen Wein oder Bier
Fri Oct 04 17:51:54 +0000 2019,"mein Abend: Döner, Bier und Musik "
Fri Oct 04 17:06:58 +0000 2019,Hacker-Pschorr - was ein geiles Bier 
Fri Oct 04 16:12:42 +0000 2019,Ihr trinkt noch Bier während wir den fruchtsecco verschütten smh 
Fri Oct 04 15:54:12 +0000 2019,Ist echt so! Erstmal wieder in ne richtiges Projekt. Ich sammel das Geld und komme gegen November erstmal aufn Bier vorbei 
Fri Oct 04 15:13:09 +0000 2019,"Eins der Kernprobleme meines Lebens: Kaffee wird von alleine kalt, Bier nicht."
Fri Oct 04 13:36:47 +0000 2019,"Jetzt aber wirklich! Heute um 19:00 Uhr wird beim Stammtisch der Rum entleert in der Bucht der @Piraten_NBG! Zirkelschmiedgasse 5, wir sehen uns dort! Möge das Bier mit euch sein!"
Fri Oct 04 11:26:14 +0000 2019,"Ist niemand jetzt alle, oder 100%? Ich bin verwirrt "
Fri Oct 04 11:08:35 +0000 2019,Bist aufm #mbs19? Oder einfach mal so aufn Bier..Troisdorf und Hennef sind net soooo weit auseinander :)
Fri Oct 04 10:01:00 +0000 2019,Da bringt mich keiner hin...nur mit Waffengewalt und zusätzlich gefesselt...Die bayrische Bier Pumpe verblödet die Menschen bis nächstes Jahr!
Thu Oct 03 21:31:21 +0000 2019,"Was hat Kölsch mit Bier zu tun? Urin ist auch kein Wein, nur weil beides flüssig ist "
Thu Oct 03 20:42:02 +0000 2019,"Bier, und zwar sehr warmes Bier"
Thu Oct 03 19:59:15 +0000 2019,"Übrigens, das GOG Bier ist unglaublich gut!! Zum Release von Cyberpunk kommt dann das Cyderpunk!"
Thu Oct 03 19:35:29 +0000 2019,Die Düsseldorfer können immerhin Bier brauen.
Thu Oct 03 19:22:19 +0000 2019,Saufe den ganzen Laden leer! Linkes Zentrum und dementsprechend billiges Bier! 
Thu Oct 03 18:28:28 +0000 2019,"Ich hab noch Bier und Käse über, das reicht dann zusammen schon fast für eine Party. "
Thu Oct 03 18:09:28 +0000 2019,Bier aus der Mikrowelle
Thu Oct 03 16:57:58 +0000 2019,"#sagenwirmalso: nach dem „Antik- und Trödelmarkt“ in Bamberg zum „Oldtimertreffen am Büssing“ auf‘n Bier. Das ist ein schönes, kleines Young- und Oldtimertreffen mit toller Musik am alten Büssing-Bus in Forchheim @HJKrieg @Bamberg_de #Forchheim"
Thu Oct 03 16:56:34 +0000 2019,"Hab mich gerade überreden lassen nächste Woche mit auf die Uniwiesn in Münster zu kommen & erstmal kostet der Spaß 16€ und jetzt hab ich erfahren, dass das Bier einfach auch an die 10€ kostet. Find‘s ja bei den richtigen Wiesn schon krank mit den Preisen..."
Thu Oct 03 16:22:55 +0000 2019, Neues aus Büttenwarder - geill... Die haben wenigstens Bier uff n Tisch 
Thu Oct 03 14:15:39 +0000 2019,"Die Zeiten ändern sich, zu meiner Zeit gab's Bier, nur heute fängt alles früher an "
Thu Oct 03 13:34:39 +0000 2019,So viel Bier trinke ich nicht 
Thu Oct 03 13:06:55 +0000 2019,"Donnerstag, 20 Uhr- wollen wir noch auf n Bier raus? Waaas? Ich hab schon meine dicken socken an und sitze mit Tee ausm Bioladen auf dem Sofa "
Wed Oct 02 20:47:02 +0000 2019,Bier ist Bier. // cc @DemmerDennis
Wed Oct 02 20:18:21 +0000 2019,Mittwochabend. #MainzNeustadt #MainzerNeustadt #Krokodil #Bier 
Wed Oct 02 19:51:05 +0000 2019,Genau so! Und in der Sauna dann Bier
Wed Oct 02 19:19:02 +0000 2019,Gehst Bier am Nordpol trinken oder wieso der Schlafsack für Minusgrade? 
