Tue Dec 31 23:31:47 +0000 2019,Wie jedes Jahr gilt bei mir: Bier statt Böller! Frohes Neues! 
Tue Dec 17 19:39:49 +0000 2019,Gestern im #Früh... #kölsch #frühkölsch #beer #bier #köln #kölle #cologne... @Früh Kölsch https://www.instagram.com/p/B6L2IKAqCk3/?igshid=1c1jf3y38syml
Tue Dec 17 19:24:33 +0000 2019,"Dazu kann man nur sagen:Protest ist verständlich und auch richtig. Aber der Gast trinkt ja auch nicht aus der Toilette, wenn ihm das Bier in der Kneipe nicht schmeckt."
Tue Dec 17 18:28:59 +0000 2019,"Ich glaube, ich muss noch Mal Bier holen. Werder macht mich fertig... "
Tue Dec 17 17:59:50 +0000 2019,Ich mach mir mal ein Bier auf. Vielleicht hilft es ja.
Tue Dec 17 17:24:56 +0000 2019,Meinst du die Polizisten mögen Bier? Zum kennenlernen bestimmt gut. Oder lieber direkt Vodka? 
Tue Dec 17 16:47:41 +0000 2019,Flasche 7 aus dem Bier-Adventskalender - Drinking a Regensburger Bruckmandl by Brauerei Bischofshof @Home of Ostwestf4le — 
Tue Dec 17 15:35:07 +0000 2019,"#TheSimpsons sind wie ein #Bier , man kann es zu jeder Lebenssituation gebrauchen . Ein #Prosit auf die nächsten #30Jahre . #BesteSendung #Homer"
Tue Dec 17 15:29:28 +0000 2019,Heute ist ein guter Tag um Bier zu trinken. #gamification
Tue Dec 17 15:01:00 +0000 2019,"Wenn die Zeit es zulässt, gehe ich gerne zu GFL-Spielen. Auch dort bei >3000 Zuschauer, eine Handvoll Ordner und alles friedlich trotz Bier &amp; Co. Da fliegen keine Becher, keine Bengalos, da wird nicht gepöbelt, sondern schlicht und einfach nur angefeuert! (1/2)"
Tue Dec 17 12:01:21 +0000 2019,Gute Besserung liebe Sabine heise Bier oder Zwiebelsaft trinken das hilft 
Tue Dec 17 04:22:27 +0000 2019,"#zeitverzögerung #Schädelbruchhöhe 1.74m #barockhäuslenürnberg #barockhäusle @Barockhäusle, Rosi's Bier,-Weinstube &amp; Restaurant https://www.instagram.com/p/B6KPM4yImQU/?igshid=1h0xwcpqp5zu"
Mon Dec 16 21:39:04 +0000 2019,Platz wart von Darmstadt hatte halt 1/2/12 Bier zu viel drin 
Mon Dec 16 20:25:46 +0000 2019,Wie immer bei Gegentoren war ich Bier holen #d98
Mon Dec 16 20:16:32 +0000 2019,“Und beim letzten haben wir in Geld statt Bier und Pizza bezahlt. Aua” Was für eine schöne Paraphrase für Erwachsenwerden.
Mon Dec 16 20:04:22 +0000 2019,"Heute habe ich Mal etwas anderes als Bier zum Fermentieren angesetzt. Wer erkennt, was es ist? @Ippendorf, Nordrhein-Westfalen, Germany https://www.instagram.com/p/B6JWM5iK59D/?igshid=8h163ncm4sez"
Mon Dec 16 19:38:52 +0000 2019,Hoppla ich bin wohl doch sehr aufgeregt. Erstes Bier nach sechs Minuten weg. Könnte eng werden @joerg_k #VfB
Mon Dec 16 19:30:12 +0000 2019,- Wegen Bier und Limo!: 55-Jähriger Flensburger muss mehrere Jahre in den Knast 
Mon Dec 16 16:12:39 +0000 2019,"Dieser Moment, wenn du dein Lieblings Bier dem Kurs vorstellen darfst :) @vioo_sc @Rena_Kol @OettingerBier #oettinger #öttinger #onkomm #wll"
Mon Dec 16 16:11:05 +0000 2019,Hofbräu-Emblem ... aber unser Vereinswappen scheint etwas aus der Zeit gefallen zu sein... egal — freu’ mich auf BL-Fußball mit Stuttgarter Bier... früher oder später... #VfB
Mon Dec 16 16:02:06 +0000 2019,"Gichtanfälle kann man auch schon mit 8 oder weniger Jahren bekommen, wenn der Körper das Purin schlecht verarbeitet. Purin ist nicht nur in Alkohol und Bier, sondern auch in sehr vielen Lebensmitteln."
Mon Dec 16 14:18:57 +0000 2019,Keine Angst. Im Bier der @Eintracht ist garantiert immer bestes Pils mit ganz natürlichen Zutaten. #Felsquellwasser 
Mon Dec 16 07:56:59 +0000 2019,"Jetzt: #Kommunikationstraining mit dem @BayerKarriere-Team in der #BayArena. Das letzte Kommunikationstraining an diesem gastlichen Ort war eher „reduziert“: „Noch ein Bier?!“ „Lange nicht gesehen.“ „VAU-EFF-ELL.“ „Döp, döp, döp.“ – at Gästeblock BayArena"
Sun Dec 15 23:21:54 +0000 2019,Warum gibt es für Gäste eigentlich nur alkoholfreies Bier? #WOBBMG
Sun Dec 15 22:55:19 +0000 2019,"Ich hatte heute einen Auftritt mit dem Gospelchor. Danach gab es Wein, Bier, Brot und Käse. Und dazu ein Stelldichein am Klavier mit Liedern von Dean Martin bis Reinhard Mey. Ich liebe das. #Gospelchor #Musik #Gesang"
Sun Dec 15 20:02:57 +0000 2019,"Grad gemacht das mit dem Folgen. Ja, den hatte ich durch einen retweet drin."
Sun Dec 15 19:56:53 +0000 2019,"Ja, irgendwer hatte die Walloaper hier bei twitter gepostet. Und das gefiel mir am besten."
Sun Dec 15 18:25:43 +0000 2019,Nach den Keksen von #badventskaffee erst Mal ein Bier 
Sun Dec 15 17:24:54 +0000 2019,Pulle Bier aufgemacht. Nützt ja nichts... #s04sge
Sun Dec 15 16:49:12 +0000 2019,Ich mag Schwaben Bräu lieber. Aber prinzipiell gehört schon ein lokales Bier ins Stadion. Da geht's gar nicht so wirklich um den Geschmack.
Sun Dec 15 15:19:29 +0000 2019,Bier von hier ab 2020 und Sonnengott Wolle deutlich nicht entlastet. Die #VfB #aoMV scheint richtig gut zu laufen.
Sun Dec 15 13:49:56 +0000 2019,Endlich Bier im Neckarstadion. 
Sun Dec 15 12:28:13 +0000 2019,"#lasttweet Nach erster Überprüfung festgestellt, dass es für Glühwein zu mild ist! #Bier #Weihnachtsmarkt"
Sun Dec 15 11:22:04 +0000 2019,"Heute im Adventskalender: lucky Buddha beer aus China. Sehr exotisch und außergewöhnlich. Bin gespannt wie es schmeckt. #bier #Adventskalender #china #luckybuddha #luckybuddhabeer #beer @Schwerte, Germany https://www.instagram.com/p/B6F1okoIGpF/?igshid=1fdb7g5zf79y0"
Sun Dec 15 09:29:09 +0000 2019,Heute #Weihnachtsmarkt im Ort. Wer bringt mich am Abend heim? Geht los ab 12 Uhr... #Glühwein #Bier. #Moinsen...
Sun Dec 15 07:32:51 +0000 2019,Ja wenn ich im Monat 24 Bier trinken will rechnet sich der Kasten natürlich mehr als der Sixpack. Aber wenn ich im Monat nur ein 6 Pack schaffe brauche ich mir keinen Kasten kaufen. (Stadia = Sixpack)
Sun Dec 15 07:23:43 +0000 2019,"Ich will nicht sagen, dass wir alt werden. Aber früher haben wir um die Zeit schon Bier getrunken und gejohlt. Nun sind wir gesittet bei Kaffe und Plätzchen und Brötchen unterwegs… Jajaaaa #SGD1953 #osnSGD"
Sat Dec 14 22:26:37 +0000 2019,"Jetzt musst nur noch den @Patriots folgen, für die Patriots und deine Tweets mit #GoPats versehen - und du bist voll drin und bereit für den Umzug. Apropro - vor meinem Umzug komm ich noch aufn Bier vorbei (!)"
Sat Dec 14 21:06:53 +0000 2019,Mülltrennung einmal anders ... #schwaben #Mülltrennung #nurfürmänner #bier #wein #schnaps #bw #BaWü
Sat Dec 14 21:02:21 +0000 2019,Hat geholfen. Jetzt noch ein klitzekleines Bier. Bis morgen. 
Sat Dec 14 20:32:42 +0000 2019,Berg Bier = Beschde
Sat Dec 14 20:05:11 +0000 2019,"Für die zweite Halbzeit sollte man aus der Manschaftskasse mindestens ein Bier pro Sonderzugfahrer spendieren. Keine Ausrede, einfach lächerlich die Halbzeit 2. #FCBSVW #werder"
Sat Dec 14 17:14:08 +0000 2019,Gibt's kein Bier?
Sat Dec 14 17:07:48 +0000 2019,"Zug Bier. @Bamberg, Germany https://www.instagram.com/p/B6D4Z3Vqt3B/?igshid=7ucqbywznu6a"
Sat Dec 14 16:42:54 +0000 2019,Auf ein Bier... 
Sat Dec 14 15:09:35 +0000 2019,Auf das 1:0 des BVB #M05BVB - Drinking a Premium Pils Bier by Lidl Deutschland / Germany @Home of Ostwestf4le — 
Sat Dec 14 14:58:43 +0000 2019,#untappd - Drinking a Helles DOMHOF-Bier by Domhof Hausbrauerei @Weihnachtsmarkt Neustadt — 
Sat Dec 14 13:21:48 +0000 2019,Warum schmeckt in #Schweden warmes Bier? Es kommt ja auch die Umgebung an! Und auf einer #Kanureise mit dem #Abenteuerteam badest Du in kristallklarem Wasser. Und mit dem #Interrail Zugticket ab Europa ist ein… https://www.instagram.com/p/B6DeiFKiJYT/?igshid=342ogntr89oi
Sat Dec 14 08:19:17 +0000 2019,"Bestimmt ein gutes Bier, aber diese Sauerbiere sind absolut nicht meins. Für mich ungenießbar. Erstes Bier aus dem Adventskalender was ich weggegossen habe."
Fri Dec 13 22:59:18 +0000 2019,"Das einzige Bier mit komplett lächerlichem Namen, das ich kenne, ist Tannenzäpfle. "
Fri Dec 13 21:41:40 +0000 2019,die eine barfrau hat gerade 3 bier mit 1 hand eingeschüttet ich glaub ich bin verliebt meint ihr ich soll fragen ob heiraten ok ist?
Fri Dec 13 20:29:10 +0000 2019,"War nach einem Bier und Essen todmüde, jetzt schon im Bett. Wünsch Dir noch einen netten Abend "
Fri Dec 13 19:48:18 +0000 2019,Hahaahahahha - das Bier zeigt Wirkung. Tausendfach Sorry
Fri Dec 13 19:33:16 +0000 2019,"Bier-Liebe! (@Pilsstube in Hannover, Niedersachsen) "
Fri Dec 13 19:27:40 +0000 2019,ich wär gern der typ vor mir der schon 8 bier intus hat und die leeren becher stolz gestapelt durch die gegend trägt
Fri Dec 13 19:21:39 +0000 2019,"Heut ein IPA. Würzig, hopfig, blumig. Gelungene Hopfenmischung. Und schöne Bernsteinfarbe im Glas. Feines IPA. Cheers. - Drinking an India Pale Ale by Doc's Bier @Fossis Bierbalkon — "
Fri Dec 13 18:50:36 +0000 2019,Clean glatt gut - Drinking a Maisel's Weisse Original by @maisel_friends @Maisel's Bier-Erlebnis-Welt — 
Fri Dec 13 18:28:37 +0000 2019," war doch nicht was von das die Mönche darum bitten, das das Bier nicht weiterverkauft wird? @Liebesbier https://www.instagram.com/p/B6Bc2sPKAT2/?igshid=196fnjt7c0kwa"
Fri Dec 13 16:27:22 +0000 2019,Always a pleasure to meet @TeJaisSchmuck und @joerg_k at the REWE Kurzer Austausch über #VfB und Bier - das Wichtigste eben 
Fri Dec 13 15:01:46 +0000 2019,"Um 17.30 hab ich mir unter der Nord ein Bier geholt, da war ein Stand, da gab es welche. Ich weiß von einer Bekannten, dass es zu der Zeit auch in der Fanaelt welche gab."
Fri Dec 13 12:08:39 +0000 2019,Passend zum heutigen Geburtstag: Flasche 5 aus dem Bier-Adventskalender - Drinking a Premium Pils by Herrnbräu @Home of Ostwestf4le — 
Fri Dec 13 11:09:15 +0000 2019,Weihnachtsfeier auf der Arbeit. Oder auch 12 Uhr das erste Bier #Wochenende
Thu Dec 12 19:57:37 +0000 2019,Auf den Überraschungsbesuch! Flasche 4 aus dem Bier-Adventskalender - Drinking an 4 Sessions by @camba_beer @Home of Ostwestf4le —
Thu Dec 12 19:20:59 +0000 2019,Weihnachtsfeier und erst mal ein Bier exen.
Thu Dec 12 18:42:38 +0000 2019,Hm. Ne Spur zu süßlich. Nicht so ganz mein Bier. Cheers. - Drinking a Winterbier by Brauhaus Zollernalb @Fossis Bierbalkon — 
Thu Dec 12 18:28:26 +0000 2019,"Mich hat schon lange keine Frau mehr auf ein Bier eingeladen, im #Losteria in #Düsseldorf passiert es noch. Der Tach ist gerettet!"
Thu Dec 12 17:50:05 +0000 2019,Mal wieder mit Übernachtung und Pre-Match-Bier #BMGIBFK – at Leonardo Hotel
Thu Dec 12 17:21:52 +0000 2019,"Lieber @WolfgangZarnack, danke für diesen Gruß im @cafecentral_md. Nächstes Mal müssen wir ein Bier trinken. – at Café Central"
Thu Dec 12 16:03:47 +0000 2019,"Made it to kundmüller, middle of nowhere - Bamberger Rauch Ick Anstich großartiges Bier @Brauerei Kundmüller https://www.instagram.com/p/B5-nfRCKsvl/?igshid=k4mf5da1l2wc"
Thu Dec 12 08:49:18 +0000 2019,"Unn de drei unn de vier, schmeckt besser wie Bier... "
Thu Dec 12 03:22:42 +0000 2019,Escape from tarkov mit nem schönem Bier
Thu Dec 12 00:07:38 +0000 2019,"""Noch zwei Bier, und ich krieg den Weltfrieden hin."" #kneipendialog"
Wed Dec 11 20:30:47 +0000 2019,"Noble Lektüre, Bier und Speisewagen. Das Leben ist schön. "
Wed Dec 11 20:24:29 +0000 2019,"Tour of London - Stage 2 • Wenn dieses @gozwift doch nur nicht so sche...‘ ehrlich wäre! 10 Tage Training geschludert, 2-7 Bier zuviel, schon fühlen sich die Fetti-Haxen ultramüde an...… https://www.instagram.com/p/B58gh4WIvWg/?igshid=v8et4lnei8qj"
Wed Dec 11 20:02:46 +0000 2019,Ist das dieses Bier welches hat so schön geprickelt in meine Bauchnabel?
Wed Dec 11 20:00:06 +0000 2019,"Jetzt ne Posse (eine Frau, vier Typen) mit Bier, einer von den stinkt"
Wed Dec 11 19:51:37 +0000 2019,Heute Abend gibts vlt. noch ein Bier in Berlin STR -&gt; TXL #EW8007 @Flughafen Stuttgart https://www.instagram.com/p/B58cxcfnOmH/?igshid=3rufuw862ka2
Wed Dec 11 16:52:40 +0000 2019,Flasche 2 aus dem Bier-Adventskalender - Drinking a Schnelles Helles by Sleipnir Brewing @Home of Ostwestf4le — 
Wed Dec 11 12:01:01 +0000 2019,"Am besten noch die TK Überwachungsapp, dann wissen die genau, wer es gewagt hat,ein Bier zu trinken. Es werden bei TK-Doc richtige Ärzte angezeigt?"
Wed Dec 11 11:46:00 +0000 2019,"Mal was bodenständiges und rustikales. Hatten gestern was traditionelles aus meiner nordischen Heimat. Grünkohl mit Kochwurst, Bauchspeck und Süßkartoffeln (kandierte Bratkartoffeln). Klassisch gab es Bier… https://www.instagram.com/p/B57lMNRovwa/?igshid=q0hxhebja4bt"
Wed Dec 11 09:37:58 +0000 2019,Es liegt ein bisschen Bier in der Luft #allesausserfussball
Wed Dec 11 08:09:07 +0000 2019,Ich hätte mir fast eine Dose Bier für die Arbeit eingepackt... 
Tue Dec 10 23:31:26 +0000 2019,Bier kann man auch aus der Flasche trinken. 
Tue Dec 10 20:57:40 +0000 2019,"EINLADUNG ZUM ""INDOOR-VIEWING"" #S04SGE (inkl. einem Freigetränk -bier) Begrenzt auf 200 Personen, das Event umfasst das Bundesligaspiel der United Volleys, und anschließend #SGE auf Schalke. Kpl. kostenlos, wie erklärt das Video! https://youtu.be/K9BOhX46MkE "
Tue Dec 10 20:37:31 +0000 2019,"Du weißt aber schon das das erste Bier nach Reinheitsgebot in Thüringen gebraut wurde. Auch wenn die ""Bayern"" was anderes behaupten. "
Tue Dec 10 20:21:59 +0000 2019,Überall auf der Welt wird Bier gebraut und jeder behauptet er hätte das beste Bier 
Tue Dec 10 20:15:39 +0000 2019,"Ja - und merkst dann, dass deine Kohle alle ist und kommst ohne Bier zurück. Aber mit Kippen. Und ohne Hose."
Tue Dec 10 20:00:01 +0000 2019,Wenn ich mit @iddSchwen Bier holen gehe 
Tue Dec 10 18:39:31 +0000 2019,Maultaschen!!! und Bier 
Tue Dec 10 16:23:45 +0000 2019,Es ist soweit! @orcharhino Bier. #ittage Stand der #ATIXCrew. Kommt vorbei 
Tue Dec 10 09:52:31 +0000 2019,Bier
Tue Dec 10 07:45:01 +0000 2019,"Herzlich willkommen, Alena!!! Wann trinken wir mal ein Bier? Wir haben viel zu besprechen. "
Tue Dec 10 05:58:31 +0000 2019,Was kostet aktuell ein Bier? ... 
Mon Dec 09 22:25:43 +0000 2019,"Ein Extra für das 50 € Bier ! Es würde wirklich bizarr aussehen, wenn die Herren in String einen Piccolo bestellen. Und wo kommen die Herren her? Eher weniger Osteuropa. Eher so Südeuropa? Oder doch was Skandinavisches, oder Karibik?"
Mon Dec 09 20:46:39 +0000 2019,Hab heute Abend das beste Bier (s/o @schneiderweisse) und das beste Album (s/o @ichbingoldie) der Welt genossen. Läuft.
Mon Dec 09 20:36:38 +0000 2019,"A definite improvement over clear, filtered Export - Drinking a DBB Export Trüb by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — "
Mon Dec 09 20:35:51 +0000 2019,"Ich muss mir jetzt erstmal en Bier öffnen, sonst raste ich komplett auf. Was das für Entscheidungen sind.... UNFASSBAR "
Mon Dec 09 20:03:50 +0000 2019,"Wir sollten mal Montags zusammen hin gehen. Israelisch-Vegan BBQ Tag, super lecker, mit Israelischem Bier und Nachtisch. Heute haben wir nur normal gegessen. Für 25€, ist dann Nachschlag drin. "
Mon Dec 09 19:35:13 +0000 2019,Und heute wo der @t_al Geburtstag hat so ein Bier im Adventskalender… 
Mon Dec 09 18:01:34 +0000 2019,"Oops. Checked in the wrong one, but I know I had the one I checked in last year anyway. - Drinking a Dortmunder Weinachtsstadt Bier by Hövels Hausbrauerei @Hövels Hausbrauerei — "
Mon Dec 09 17:15:04 +0000 2019,Ich gehe jetzt Bier trinken. – at Ding Ding Sheng
Mon Dec 09 17:02:46 +0000 2019,Denk Bier reicht nicht...Stell dir lieber ne flasche Schnapps mit Strohalm hin. – at Jahnstadion
Mon Dec 09 16:24:45 +0000 2019,"Ich möcht in Norwegen nicht tot überm Zaun hängen. 6 Monate Dunkelheit, schlechtes Bier 10 Euro, schlechte Pizza 25. Lieber armer Rentner in Griechenland."
Mon Dec 09 14:12:28 +0000 2019,"Nein. Ich hab mir nach dem Spiel noch ein Bier geholt. Daneben war ein Stand, da hingen die aus. War allerhand los."
Mon Dec 09 12:57:49 +0000 2019,Hat hier jemand Bier gesagt?
Mon Dec 09 10:59:00 +0000 2019,"Thema: ""Wie alkoholfreies Bier die Waldseite lähmt..."" "
Mon Dec 09 09:20:54 +0000 2019,"Ps. Ich bin froh, dass nach der Deutschen Einheit das leidige Thema „Lied der Deutschen“ mit der ersten (unzeitgemäß) und zweiten Strophe (klassischer Text zur Begleitung von mir Bier oder Wein angereicherter Stimmung) abgeräumt wurde."
Sun Dec 08 21:20:33 +0000 2019,"Der @KuehniKev und der @PaulZiemiak sollten beim Bier mal reden statt in der Talk-Show, dann wird es auch was mit dem #Mindestlohn und der #Kindergrundsicherung. @AnneWillTalk"
Sun Dec 08 19:22:36 +0000 2019,Mit acht Tagen Verspätung starte ich mit meinem Bier-Adventskalender - Drinking a Perlenzauber (2019) by @camba_beer @Home of Ostwestf4le —
Sun Dec 08 19:15:51 +0000 2019,#schumacheralt #altbier #craftbeer #bier #dusseldorf #deutschland #germany @Schumacher Alt https://www.instagram.com/p/B50qS4DHjsV/?igshid=1culr4fy8loha
Sun Dec 08 19:15:45 +0000 2019,Other noteworthy #altbiers... #schlüssel #altbier #craftbeer #bier #dusseldorf #deutschland #germany @Hausbrauerei Zum Schlüssel https://www.instagram.com/p/B50qSQfHvMY/?igshid=ovkb5k6z8v34
Sun Dec 08 17:39:21 +0000 2019,ich möchte ein bier trinken 
Sun Dec 08 16:56:37 +0000 2019,Naja... Wurde Bier 
Sun Dec 08 15:29:02 +0000 2019,"Vier Radler, drei Bier, zwei Jungs und ein Punkt. Könnte ein schlimmere Sonntag sein. #svww #sv98 #Lilien"
Sun Dec 08 11:14:58 +0000 2019,so. mittag. was was ich denn jetzt? ich hätt n bier kalt 
Sun Dec 08 11:14:27 +0000 2019,"Und die Frage, ob der Junior Lust auf ein Bier hat, wird mit großer Abneigung beantwortet. #diekkeineRevanchederEltern"
Sun Dec 08 09:26:40 +0000 2019,"Warmes Bier hilft doch, oder wie war das?"
Sun Dec 08 02:18:00 +0000 2019,Krank aus einer Schnaps/Bier Idee ist #FriendlyFire5 geworden und haben 1 verfi** Millionen Euro zusammen bekommen Großen RESPEKT an das komplette Team von Friendly fire
Sat Dec 07 22:59:16 +0000 2019,mit dem hallenmeister 2 bier getrunken. alter. vertrag ich nix mehr oder was??
Sat Dec 07 21:03:33 +0000 2019,Frau mit Drillingen Schwanger. Trinkt Bier und feiert voll mit. Die armen Kinder ._.
Sat Dec 07 20:34:22 +0000 2019,Ein Schluck Bier und schon könnte ich kein Auto mehr fahren Aber ab und an FELDBERGFIGHTER… https://www.instagram.com/p/B5yOefBo6P4/?igshid=1rgn6e4f42r86
Sat Dec 07 20:29:34 +0000 2019,"Hab gerade noch im Rossmann Toastbrot geholt. Da mir das aber zu peinlich war, hab ich noch ein Bier als Alibi gekauft. #samstagnacht"
Sat Dec 07 20:23:02 +0000 2019,„I like big hops and I cannot lie“ - fantastisches Bier. Trinke ich gerade zum zweiten mal und es schmeckt inmer noch. 
Sat Dec 07 19:47:33 +0000 2019,Im Keller feiert der Sohn seinen 16. mit Döner Bier und komischer Musik
Sat Dec 07 18:17:09 +0000 2019,Take me to the limit again. weare_avalanche xela_wie fatboydelirium #livemusic #rockshow #hardrock #ruhrpott #bier #sommer#klimawandel #rockandrollhalloffame #rockshow #konzerte#konzertemachenglücklich @Don't Panic… https://www.instagram.com/p/B5x-xk0qLWt/?igshid=1ockq5wuhoe0g
Sat Dec 07 16:53:56 +0000 2019,Was für tolle Freunde. Umzug geschafft. Anstrengender Tag. Jetzt Bier!
Sat Dec 07 15:40:29 +0000 2019,Da gibt's aber nur altes Bier 
Sat Dec 07 11:55:06 +0000 2019,"UVP 49,99€ https://amzn.to/3403DuR - bei @METRO_DE für weniger als 20€. Jetzt habe ich auch einen Adventskalender mit Bier "
Sat Dec 07 11:29:00 +0000 2019,"Danke Maddin Kind, dass ich schon jetzt wieder Bier trinken kann und nichts mit meiner Frau unternehmen muss. #H96 #H96AUE"
Sat Dec 07 11:15:50 +0000 2019,And my favourite #altbier so far. #füchschenalm #füschenalt #craftbeer #brauhaus #bier #dusseldorf #deutschland #germany @Füchschen Brauhaus https://www.instagram.com/p/B5xOkSMH8L5/?igshid=1pobxm5v2jkzi
Sat Dec 07 10:54:24 +0000 2019,"Kudos an den Typen an der U-Bahnstation Uni Riedberg, der erst seine Dose Aldi Bier auf Ex gekippt hat und dann im Anschluss die Reste einer verlassenen Flasche Fuselwhiskey, die am Bahnsteig lag. #HochprozentigamMorgen #MeinFrankfurt"
Sat Dec 07 10:39:41 +0000 2019,"Aber doch kein Ersatz für den Haushalt . Ersatzaufwendungen wären Pfannen, Töpfe, Bügeleisen, Bier, Besen und Schrubber, Staubsauger, Skybundesligaticket, Staubsauger und von mir aus auch noch eine Waschmaschine "
Fri Dec 06 21:26:52 +0000 2019,"Wein, Bier, Bratwurst, frohe Weihnachten! "
Fri Dec 06 21:23:54 +0000 2019,"Zwar kein Bier, aber wer kennt noch diese grünen Wagen der BfB? – at Bayerisches Eisenbahnmuseum"
Fri Dec 06 20:25:10 +0000 2019,Donnerstag am Fan-Treff geht das erste Bier auf mich.
Fri Dec 06 20:02:21 +0000 2019,Gutes Bier. Spannennder Kick. Charmanter Abend für dich.
Fri Dec 06 18:40:33 +0000 2019,"Theke und ordert ein Bier, beschwerte sich über die Lieferzeit. Wirtin: Du wartest genau solange auf dein Bier wie jeder andere. Gast: Wie reden Sie mit. Wissen Sie Wer ich bin? OstA Dr,X aus Bremen. Wirtin:Wat bist Du? Oberstaatsanwalt? VOB euch Jecken habe ich jeden Tag die.."
Fri Dec 06 18:37:20 +0000 2019,"Wir hatten früher in Köln eine Stammkneipe, in der überwiegend Justiz und Pressehaus verkehrten, sehr entspannt. Eines Abends am Stammtisch, der Leitende Oberstaatsanwalt, zwei Oberstaatsanwälte, ein Richter. Wir knobelten um Bier. Plötzlich stellt sich ein Fremder an die"
Fri Dec 06 15:32:37 +0000 2019,"Und zwar auf der Kaiserstraße. Hätte ich das gewusst, hätte ich zum Bier (oder Kaffee) eingeladen. :)"
Thu Dec 05 22:37:35 +0000 2019,"Habe gerade bei einer goldenen Hochzeitsfeier eine Rede gehalten, und alle haben geguckt als wenn der Wirt vergessen hat die Drehtür abzuschließen. Nun war ich dabei und habe ein alkoholfreies Bier bekommen. Pfff. Die Gäste waren auch nicht alle glutenfrei."
Thu Dec 05 22:04:49 +0000 2019,"Gesunde Ernährung heißt, sich ausgewogen zu Ernähren. Natürlich kann und darf Man(n) auch Mal ein Bier trinken, es Muss aber nicht gleich Ein Liter sein. Die aufgeführten Werte auf dem Bild gelten auch für… https://www.instagram.com/p/B5tPPQ8osL0/?igshid=1su6tmgkh64dg"
Thu Dec 05 21:55:55 +0000 2019,Die nächste öffnen? Auf Bier ausweichen? Schlummerschnäpschen?
Thu Dec 05 18:54:28 +0000 2019,"Wenn net dann schaust halt bei mir und @JimmyTschanga81 vorbei, Bier ist genügend da "
Thu Dec 05 17:38:30 +0000 2019,Bier &amp; Burger #kontaktlos #SCMagdeburg #Handball #gruenrotewand #getecarena
Thu Dec 05 14:32:14 +0000 2019,Servus @jugHannover! Hat jemand hier lust aufs Bier heute Abend trinken? 
Thu Dec 05 13:28:01 +0000 2019,"Jaaaaaaaa! Ich weiß gar nicht warum ich dir nochmal das Bier schicken soll Du magst Kanada und die Vikings nicht, ich die Pats nicht und Schalke Zwei hoffnungslose Fälle! Da kann eigentlich nur einer helfen "
Thu Dec 05 13:04:15 +0000 2019,Friseur mit #Bier. Ich liebe es. – at Schnittwerk
Thu Dec 05 12:34:45 +0000 2019,"Ja Team Weizen bitte das, Gute Schwarzbier habe ich schon oft genug wenn Ich in Worms in den schönsten Lokalen und Kneipen unterwegs bin! Auf besser Bekannt als"" Bier des Tages """
Wed Dec 04 21:30:37 +0000 2019,"Die ""Glöcknerin"" war dem Kontext Bier/Musik geschuldet. Nicht, dass von mir ein falsches Bild entsteht. "
Wed Dec 04 20:56:29 +0000 2019,https://youtu.be/mwIgd6_XFDg @Pansenwurst Nur mal so zur Symbiose von Bier und Musik!
Wed Dec 04 19:33:36 +0000 2019,Gott sei Dank hast du in diesem Jahrtausend schon etwas mehr Bier getrunken
Wed Dec 04 19:28:53 +0000 2019,Frag mich nicht! Ich habe nur nen Bier im Bett getrunken! Dabei gelesen
Wed Dec 04 19:25:01 +0000 2019,"Martin Rütter beweist mal wieder, dass er sich mit seiner Auslegung der Gesetze und peinlichen Mann/Frau-Witzen auf unzählbar vielen Ebenen lächerlich macht. Mario Barth fühlt sich bedroht, während ihm seine Frau Essen kocht und ihm ein Bier holt. #Rütterreichts"
Wed Dec 04 18:38:40 +0000 2019,Ich warte mal unten und bewache das Bier oder so 
Wed Dec 04 15:45:59 +0000 2019,Für Kurzentschlossene: Heute 19:30 Uhr beginnt der Stammtisch im Theater am Küchengarten! Kommt vorbei und trinkt ein Bier mit euren Lieblingspolitikern!
Wed Dec 04 15:17:39 +0000 2019,"Ich frage mich gerade, bin ich die einzige die Bier auch im Bett trinkt?! #nachdenken"
Tue Dec 03 22:55:10 +0000 2019,Richtig! Angekommen! Jetzt kann ich dir auch Bier schicken 
Tue Dec 03 22:39:20 +0000 2019,Prost! Da gehe ich doch mal direkt an meinen Kühlschrank! Da ist noch Bier 
Tue Dec 03 20:46:08 +0000 2019,"Ein Mann - von seiner Optik und Deutschkenntnissen her sicherlich oft genug Ziel der üblichen Rassisten - steht an der Rewe-Kasse mit Bon, murmelt was von Bier und Geld, hält die Leute auf. Die junge Kassiererin"
Tue Dec 03 20:29:39 +0000 2019,"Plastikkleiderbügel sind kein Plastikmüll ... weil keine Verpackung #gelbesäcke oder #gelbetonne ? „Brotzeit, Bier und Politik in Memmelsdorf“ mit @FlorianPronold @Schwarz_MdB"
Tue Dec 03 15:13:38 +0000 2019,Drinking an Allgäuer Büble Bier Edelbräu by Allgäuer Brauhaus @Domplatte — 
Tue Dec 03 14:52:22 +0000 2019,Oh dann Dir schnell Feierabend und Dann trinken wir ein Bier zusammen! 
Tue Dec 03 13:34:10 +0000 2019,"Du kennst keinen? Lebst du hinterm Mond oder in einem Funkloch in dem du dich verschanzt? Ich finde die Werke der genannten „Künstler“ auch durchweg scheiße, aber man hört den Mist doch an jeder Ecke "
