Sun Jun 30 23:54:44 +0000 2019,Denk an das Vorsorge - Bier 
Sat Jun 22 10:56:23 +0000 2019,Posted withrepost • troisdorfjets AMERICAN DAY VOLUME 2 U better save the date cause we will burn this sh*t Einlass: 15Uhr American Burger Cocktailbar Kühles feinstes Bier butchersbeer zu gute Musik… https://www.instagram.com/p/BzAmyccC-1g/?igshid=sq5syis16g2z
Sat Jun 22 10:21:44 +0000 2019,"Wenn‘s gleich gut für mich läuft, steh ich mit nem Bier, Fluppe und Sonnenbrille im Schatten und amüsiere mich den ganzen Tag prächtig. Bei meinem Glück steh ich aber in der Gluthitze zwischen den Pfosten und krieg richtig was auf‘s Dach. Daumen drücken, bitte!!! #StilleCup"
Sat Jun 22 08:25:34 +0000 2019,"Mir wäre auch 'ne lasziv auf dem Balkon in der Abendsonne sitzend und Bier trinkend wartende Frau lieber, die mich nach dem Tag noch angemessen über die Matratze spannt, damit ich morgen nicht mehr laufen kann "
Sat Jun 22 08:20:20 +0000 2019,"Neonazis bilden sich gegenseitig in Kampftaktiken aus, horten Waffen und töten damit unsere Politiker. Die Polizei? Prügelt „Zecken“ und schreddert Nazi-Akten. Und ihr feiert, dass ihr denen zumindest das Bier weggenommen habt. Ich möchte kotzen. #Ostritz"
Sat Jun 22 08:17:30 +0000 2019,Nur Bier? So viel könnte ich nicht trinken um das zu verarbeiten.
Sat Jun 22 07:12:12 +0000 2019,Wenn man den Nazis neben dem Bier künftig auch noch die Frakturschrift wegnimmt sind sie erledigt! #Ostritz #keinbierfuernazis
Sat Jun 22 07:10:17 +0000 2019,@Cyberthron82 Willkommen auf meiner Insel. Sie ist zwar mehr #PlayStation aber wir Gamer sollten uns untereinander doch verstehen. Go for it... Bier?
Sat Jun 22 06:08:37 +0000 2019,guten morgen; ich habe euch bier gekotzt.
Fri Jun 21 22:05:39 +0000 2019,....wenn kaltes Bier da ist....dann funzt auch Hitze 
Fri Jun 21 21:22:34 +0000 2019,"Nach einem anstrengenden Tag mit Vorbereitungen für die @UniofNottingham, arbeiten und Vorbereitungen für eine kleine Party mit Freunden kann ich endlich mit einem guten Bier entspannen."
Fri Jun 21 20:34:09 +0000 2019,"Nicht schubsen, ich habe Bier in meiner Handtasche "
Fri Jun 21 20:19:16 +0000 2019,Alter Tatort. Einfach berieseln lassen und Bier schlörfen.
Fri Jun 21 19:52:24 +0000 2019,Mehr Bier!
Fri Jun 21 19:26:47 +0000 2019,Ich hab nächste Woche fast schon Meer um diese Zeit. FUMP und nen Bier.
Fri Jun 21 19:22:29 +0000 2019,Oder gleich Bier
Fri Jun 21 18:35:03 +0000 2019,Pizza und Bier - Drinking a Paderborner Pilger by Paderborner Brauerei @meine Eltern — 
Fri Jun 21 17:33:50 +0000 2019,"Noch billiger ging das Bier nicht, oder? Lass es dir schmecken (Bier und Essen)."
Fri Jun 21 15:21:23 +0000 2019,Kühles #Craftbeer und gute Musik bei der #fetedelamusique in #hannover #lifeisgood @Craft Bier Bar Hannover https://www.instagram.com/p/By-gUi2IAcn/?igshid=1bff43tu4qaeg
Fri Jun 21 12:57:58 +0000 2019,"dieser account ist zwar nichtraucherfreie zone, trinkt aber wenigstens bier."
Fri Jun 21 11:58:46 +0000 2019,Wie war das noch mit „kein Bier vor Vier“? 
Fri Jun 21 09:29:29 +0000 2019,Ich war ja über Nacht arbeiten und ich war quasi nach der Arbeit beim Sport. Kann ich mir dann jetzt ein Feierabend-Bier gönnen? 
Thu Jun 20 20:28:04 +0000 2019,Spontan 2 Flaschen Bier aus direkter Brauereiabfüllung gehomt. Damit der Besuch aus Köln mal klarkommt wenn's um Bier geht 
Thu Jun 20 19:11:57 +0000 2019,@AndyGrobi22 gehen wir im August nen Bier trinken? 
Thu Jun 20 18:57:38 +0000 2019,Gibt's auch Bier auf der Fähre???
Thu Jun 20 18:27:09 +0000 2019,Bier auf Wein - das lass sein 
Thu Jun 20 17:07:49 +0000 2019,Gar nicht? Weil Freibier das beste Bier ist :p sonst klar Bargeld denn Bargeld ist liebe
Thu Jun 20 16:58:52 +0000 2019,"Wer, wenn nicht Bier."
Thu Jun 20 15:55:36 +0000 2019,"Jetzt spielen sie beim #HappyCadaverCup @WoelfiWendland „Das schlimmste ist, wenn das Bier alle ist.“ - denn das ist jetzt wirklich alle! #HappyCadaverCup"
Thu Jun 20 15:47:34 +0000 2019,"Wenn mich jemand fragt... Ich habe nur EIN #Bier getrunken! #Grillen @Koblenz, Germany https://www.instagram.com/p/By7-h0xAYKt/?igshid=4ab5zjysu6m9"
Thu Jun 20 15:08:34 +0000 2019,"Ein lecker #Elephant-Bier, im gediegenen #TuSKob-Glas und dazu ne gute #Dampfe. #MantaRDA #AegisLegend #Grillen #dampfen #vape #vaping @Koblenz, Germany https://www.instagram.com/p/By76EI-Ar8-/?igshid=b4ao4wzitoo8"
Thu Jun 20 15:05:57 +0000 2019,Bier aus der alten Heimat - Drinking a Corveyer Hell by @Allersheimer @meine Schwiegereltern — 
Thu Jun 20 14:54:47 +0000 2019,Erst mal Bier 
Thu Jun 20 14:42:47 +0000 2019,Wenn ich Pizza und bier kaufe schon. 
Thu Jun 20 13:18:06 +0000 2019,"Hey hou! Ich möchte euch gerne die FestivalApp ""HeyJinx"" ans Herz legen! @Der_DPR &amp; ich sind dort Partner und ich probiere sie heute das erste mal aus! Wie wäre es, wenn wir uns heute Abend auf dem Hurricane auf ein Bier treffen? :) #Werbung #Festival #Hurricane"
Thu Jun 20 11:25:35 +0000 2019,"Wer gestern in #Mainz seine #Hamsterkäufe vergaß, kommt heute Nachmittag doch am besten zu den @mainz_athletics zur #Baseball-#Bundesliga gegen die @MaTornados. Spielbeginn ist 18 Uhr und es gibt u.a. #Burger, #Pommes und #Hotdogs zu #Bier und #Weinschorle. "
Thu Jun 20 11:18:49 +0000 2019,Hammer Bier. Mein Lieblings Helles momentan
Thu Jun 20 11:03:47 +0000 2019,"Auch im letzten Spielmonat dieser langen Saison habt ihr wieder einen Spieler des Monats gewählt. Diesmal durfte sich unser Neuzugang Krisztián Gálli (christiansen31) freuen. Herzlichen Glückwunsch, auch zum #Bier… https://www.instagram.com/p/By7eC-wI4zC/?igshid=15l81vtbdgkw6"
Thu Jun 20 04:06:13 +0000 2019,Kommt ihr rum und trinkt ein Bier mit uns? 
Wed Jun 19 22:28:10 +0000 2019,"Bier mit Chips ist auch #vegan, nur nicht besonders empfehlenswert #Baskast #Lanz "
Wed Jun 19 22:03:54 +0000 2019,Zu Hause und ein Gute-Nacht-Bier auf der Terrasse. Gute Nacht. Und Prost. 
Wed Jun 19 21:28:02 +0000 2019,Haben die immer noch keinen Bier-Kurier?!
Wed Jun 19 21:21:26 +0000 2019,Hat Kölsch schon mal behauptet Bier zu sein??
Wed Jun 19 20:28:09 +0000 2019,"Ich mag ja Kneipen, in denen man nach 22 Uhr noch Bier an den Tisch bekommt und 'nen Strich auf den Deckel. – at Wunderbar"
Wed Jun 19 20:02:14 +0000 2019,"Zwischen Oberkasseler- und Theodor-Heuss-Brücke setzen sich viele gerne am Rhein auf die Mauer und schauen sich den Sonnenuntergang an, mit einem Bier aus dem Fortuna-Büdchen in der Hand. Im Rheinpark gibt es viele Jogger und Menschen, die die Wiese zum Entspannen nutzen."
Wed Jun 19 19:31:17 +0000 2019,Brauereigasthof #Lindenbräu @Graefenberg - gutes Essen und wunderbares Bier @Fraenkische @VisitFranconia #gräfenberg #lindenbräugräfenberg #83km #frühling #FränkischeSchweiz @HJKrieg
Wed Jun 19 19:23:31 +0000 2019,"Oder das, denn es zeigt meine sehr frühe Schwäche für Bier "
Wed Jun 19 18:50:13 +0000 2019,Kulturelle Unterschiede: Während man in Norddeutschland immer das große Bier bestellen muss ist es im Süden das kleine. #infotweet
Wed Jun 19 18:45:26 +0000 2019," Prost bei mir gibt es heute leider nur Kalten Likörmix,(Kalter Süßer Holunder Likör 20%Voll mit Kalter Organen Limonade)da ich vergessen habe neues Bier Nachzulegen in den Kühlschrank und dort nur noch Alkoholfrei drin ist ""Bäh"" aber egal der Wille Zählt, Prost Liebe Nurse"
Wed Jun 19 18:41:08 +0000 2019,Bier gibt’s doch auch in Hamburg. Zum Beispiel am Kiosk am Schlump. 
Wed Jun 19 17:54:33 +0000 2019,Ein Angriff auf mein Bier ist in Planung 
Wed Jun 19 17:45:44 +0000 2019,"Wie kann man jemand so krass vermissen, Wie ich Bier in diesem scheiß Augenblick ?"
Wed Jun 19 16:57:12 +0000 2019,Erstma nen Bier.
Wed Jun 19 16:52:54 +0000 2019,Erst einmal den Bier Horizont erweitern @Khan Kiosk https://www.instagram.com/p/By5hNEvimGK/?igshid=q4lekbvb7giz
Wed Jun 19 16:38:03 +0000 2019,Dein Bier wirst du nicht draußen trinken 
Wed Jun 19 13:37:00 +0000 2019,Bier für die #BestBrewChallenge! #maltitup #BestBrew
Wed Jun 19 07:45:54 +0000 2019,Wir haben auch eine Flasche. #bier #recycling #abwasser. #workhardplayhard
Wed Jun 19 06:15:15 +0000 2019,Deutsches Reinheitsgebot bei #Bier auf der Kippe? „Hanfkiss“ mit THC: Das erste Hanf-Bier https://www.welt.de/wirtschaft/article195332085/Hanfkiss-mit-THC-Radler-Renaissance-sorgt-jetzt-fuer-das-erste-Hanf-Bier.html?wtmc=socialmedia.twitter.shared.web via @welt
Tue Jun 18 22:00:27 +0000 2019,"Zwei intensive #dztkd19 Reportagetage sind gut geschafft. Noch ein paar Stunden, bevor mein Rückzug fährt? In Frankfurt bedeutet das: Auf zu kulinarischen Entdeckungen! Die African Queen – das ist: Äthiopisches Essen, Bier in der Kokosschale, hausgerösteter Kaffee – like it! – at African Queen"
Tue Jun 18 21:18:48 +0000 2019,Bier aus grünen Flaschen ist Abfall.
Tue Jun 18 20:50:48 +0000 2019,hab mir jetzt 3 bier gegeben und mir ist schlecht. scheiß tag.
Tue Jun 18 20:03:35 +0000 2019, Ey Leute! Vielen Dank für den fetten #stream! Ein Mega #support den ihr #geliefert habt. War ein geiler #Tag mit euch! Und jetzt trinken wir erst mal ein #feierabend Bier! Prost ihr geilen! Bis morgen!
Tue Jun 18 19:48:49 +0000 2019,bin vielleicht meinen job los :))) aber: feierabend. und: bier.
Tue Jun 18 19:26:35 +0000 2019,"Die Eltern trinken Bier, die Kinder lesen Greg‘s Tagebuch #nevernotreading #readingkids #kidswhoread #lesekinder #gregstagebuch #diaryofawhimpykid #firstgrader #erstklässler #forthgrader #viertklässler @… https://www.instagram.com/p/By3N_2viJxs/?igshid=1alzuilk6sd3e"
Tue Jun 18 18:57:53 +0000 2019,Nach einem Tag bei den Jungs und Mädels von @zeitsprunggmbh haste einfach Hunger. Digitalisierung geht nur mit Pizza und Bier (wahlweise auch Kaffee). #codeandbeer #digitalisierung #codeandpizza
Tue Jun 18 18:05:56 +0000 2019,habe elias vom RaMa-gymnasium bei seinem tagwerk für afrika in der neuen brauerei von eulchen bier unterstützt. wir haben - überraschung - bier gebraut und abgefüllt . danke an das @Aktion_Tagwerk team für die tolle hilfsaktion! #aktiontagwerk #tagwerk #bildung – at Eulchen Brauereiausschank
Tue Jun 18 17:43:34 +0000 2019,"Difficult life at Düsseldorf! Achicharrado al sol! #Bier #Beer #Cerveza #Sol #Sun #Sonne @Düsseldorf, Germany https://www.instagram.com/p/By3CNVwIbVf/?igshid=1rrl4dh1octd1"
Tue Jun 18 17:35:33 +0000 2019,"Nach anfänglichen Schwierigkeiten bin ich dann auch drin Bier schmeckt nich so prickelnd. (@TUI Arena for Slipknot | Platin Tickets in Hannover, Niedersachsen) "
Tue Jun 18 17:33:48 +0000 2019,Erstmal gönnen #bier #vegan #hashtag
Tue Jun 18 17:03:52 +0000 2019,"Feierabend, draußen sitzen mit Club Sandwich und Bier. Super Lob vom Kunden bekommen, das sind die Momente wo der Job richtig Spaß macht und man für die Mühen belohnt wird."
Tue Jun 18 15:12:22 +0000 2019,Sag wann es los geht. Ich komm dann Bring auch kaltes bier mit .
Tue Jun 18 14:57:06 +0000 2019,Ein freier Tag kann so anstrengend sein #lavidameama #birra #cerveza #pivo #bier – at Gambrinus am Eck
Tue Jun 18 14:39:26 +0000 2019,"Kuchen, oder Bier im ICE es ist ja schon nach vier?"
Tue Jun 18 12:01:25 +0000 2019,Naja... #Masematte halt: - Jovel - Lowine - Keilof - Seeger - kneistern - meimeln —&gt; - gut - (Flasche) Bier - Hund - Kerl - schauen - regnen ...
Tue Jun 18 06:16:51 +0000 2019,"Nur so lange bis er merkt, dass das Wasser teurer ist als Bier."
Tue Jun 18 05:17:46 +0000 2019,Mir gefällt die unterschwellige Kritik an Biergärten oder gar Bier nicht - droht hier das nächste Verbot? 
Tue Jun 18 04:31:22 +0000 2019,Lecker! Ich hab das passende Bier von @molenbier daheim.
Mon Jun 17 23:33:59 +0000 2019,"Interne Notiz an mich selbst #einfachso : To-Do 2019 (vorerst) - @NOFXband , @La_Brass_Banda , 2x @feinesahne , @TheToyDolls. Blaue Flecken, Saunaclubatmosphäre, Bier, Muskelkater, flauer Magen, Pfeffi und Bier sind gebucht! "
Mon Jun 17 20:59:36 +0000 2019,"Haben wir eigentlich bei aller Kritik ausreichend gewürdigt, dass die Sportschau Nia Künzer zu Beginn der Berichterstattung zu #GERDEN nicht zum Bier holen geschickt hat, sondern als Expertin da behalten hat, OBWOHL ES UM MÄNNERFUSSBALL GEHT? #GanzKleineSchritte"
Mon Jun 17 19:33:49 +0000 2019,Auch ne schöne Form von Gerste #westmünsterland #burlo #klostersee #soklingtzuhause #radio #radiowmw #gerstenblond #bierblond #beer #radfahren #Sonne #sunshine #bier #nature #moderatorinontour #vielStrampeln #geilo… https://www.instagram.com/p/By0qBz-oQzc/?igshid=stw5sss8cyux
Mon Jun 17 18:25:32 +0000 2019,Alt – Bier – Genuss in den Hausbrauereien der Düsseldorfer Altstadt https://teilzeitreisender.de/alt-bier-genuss-in-den-hausbrauereien-der-duesseldorfer-altstadt/ via @Teilzeitreisen
Mon Jun 17 18:18:36 +0000 2019,Herr Ober ein Bier! #immerblaugelb #Woltersbier
Mon Jun 17 17:17:34 +0000 2019,Bestes Bier nach Carlsberg. 
Mon Jun 17 16:48:43 +0000 2019,"Cool, ich schaue mit. Geht auch Bier?"
Mon Jun 17 14:29:05 +0000 2019,"Prioritäten setzen, so wichtig #bier #priorität"
Mon Jun 17 09:32:59 +0000 2019,"Dieses Thema hatten wir unlängst in der Stammkneipe. Wirtin:""Im Keller sind noch sechs Hektoliter Bier und 15 Flaschen Doppelkorn. Reicht für sechs Tage."" Gast:""Und am siebten Tag fallen wir über den Eierlikör her."" "
Mon Jun 17 07:59:43 +0000 2019,"Mit Bier aus Abwasser will eine Herforder Firma zeigen, dass ehemaliges Toilettenwasser durchaus genießbar sein kann. Bitte, was? Danach einen Schnaps #Desinfektion https://www.berliner-kurier.de/berlin/kiez---stadt/vom-klaerwerk-in-den-zapfhahn-ist-abwasser-bier-das-neue-ding--32710122"
Sun Jun 16 18:46:58 +0000 2019,Keeeeeeein Bier mehr im Haus!!! Und nun Fußball... 
Sun Jun 16 17:30:37 +0000 2019,Balkonien und ein Bier. Bis morgen
Sun Jun 16 16:56:12 +0000 2019,Im Himmel ist kein Platz für mich Denn als Engel taug ich sicher nicht Und so lange hier die Party läuft Bleibe ich doch lieber hier… Hömmasammawommanomma Bier trinken gehen..
Sun Jun 16 15:27:32 +0000 2019,BIER BULETTEN GRILLEN https://youtu.be/mtWU6uWVFgE
Sun Jun 16 14:14:57 +0000 2019,"Crisp grains, gentle lightly grassy spice, touch of vanilla. Good. - Drinking an Original Pfaffen Bier by Pfaffen Brauerei @Pfaffen Brauerei — http://untp.beer/s/c764247646"
Sun Jun 16 14:13:36 +0000 2019,Einmal Assi immer Assi oder was? Nicht Mal in Ruhe bier trinken kann man... #beer #assi #glasses
Sun Jun 16 12:54:57 +0000 2019,"Ein Kollege schrieb mir auf Facebook: ""Brätel (Langform Rostbrätel) ist Schweinekammsteak. Mariniert. In Thüringen klassischerweise in Bier."" So steht's auch bei Wikipedia."
Sun Jun 16 11:08:56 +0000 2019,"Endlich die Chance, noch mehr Salbei Bier zu kaufen "
Sat Jun 15 23:31:40 +0000 2019,Ich trinke grad ein Bier aus le Fronkreich! So mit le Bauchnabel! Abbaye de Vauclair! Mon dieu ! Vite l'orange ! 
Sat Jun 15 22:31:33 +0000 2019,habe noch ein weiteres Bier im Kühlschrank Kümmerling und Likör #fraglemans #LeMans24
Sat Jun 15 22:27:08 +0000 2019,Meine Oma würd' mir 'ne Ohrlasche verpassen für soviel Bier im Gulasch 
Sat Jun 15 22:03:45 +0000 2019,"Typischste Eifelszene des Wochenendes: ""Wenn ich richtig gezählt habe, brauchen wir 8 Bier. Zur Sicherheit bestell ich 9."" An der Theke: ""9 Bier, bitte."" ""9? Dann nimm gleich 10, beim Meter gibts 1 umsonst."" ""Ok, dann nehm ich 10."" Wie wir mit 8 Leuten zu 11 Bier kamen..."
Sat Jun 15 21:44:54 +0000 2019,"1,5l Cola, Bier und so weiter zum Nacht überleben #fraglemans #LeMans24"
Sat Jun 15 21:25:01 +0000 2019,Ich hatte heute Veggie-Hotdog im samstäglichen Ikea und danach eine einsame Badefahrt mit Bier.
Sat Jun 15 21:22:39 +0000 2019,Irgendwo Bier trinken #nurkurz #nichtübertreiben #bier 
Sat Jun 15 20:42:46 +0000 2019,Stellt das Bier kalt. Ich komme jetzt vorbei. @EisenBremen #tkschland
Sat Jun 15 20:25:35 +0000 2019,Dann lasst euch beide das Bier gut Schmecken und schönen Abend.
Sat Jun 15 20:19:46 +0000 2019,German beer an the banks of the Neckar River in the Bier Garten with sausages of course - Drinking a Neckarmüller Weiße hell by Tübinger Gasthausbrauerei Neckarmüller @Neckarmüller — 
Sat Jun 15 18:51:10 +0000 2019,#bergkirchweih #feiern #erlangen #bier daschkazi #party @Bergkirchweih Erlangen | http://Berch.info https://www.instagram.com/p/ByvbjyqomVh/?igshid=e0ydi95i4bas
Sat Jun 15 17:42:59 +0000 2019,Vermutlich irgendeinen Schrott. Ein Bier dazu wäre eine Möglichkeit.
Sat Jun 15 16:54:52 +0000 2019,#BVB #DFBPokal #Grosskreutz #Kevin stell das Bier kalt 
Sat Jun 15 15:20:08 +0000 2019,"Das Bier ist mindestens haltbar bis ,und jetzt haltet eure Socken und schlüpfer fest..... 9.02.2020 Als ob es ne Chance hätte solange bei zu wohnen... "
Sat Jun 15 14:48:16 +0000 2019,Ich finde meine Bier-Socken nicht. #dasanderedingsda
Sat Jun 15 11:24:55 +0000 2019,"Die Würfel sind gefallen. Meine #Wismec mit dem #Manta begleiten meine heutige #Grill-Saison. Dazu gibt's erstmal ein #Elephant-Bier. @Koblenz, Germany https://www.instagram.com/p/ByuofwzgVkv/?igshid=gxwhd52260cq"
Sat Jun 15 10:57:21 +0000 2019,#digitalekirche Kennt einer von euch Gluckspilz Bier aus Berlin
Sat Jun 15 10:54:44 +0000 2019,ja aber wie kann man bier denn überhaupt schal werden lassen 
Sat Jun 15 10:11:47 +0000 2019,Trinkt die denn so viel Bier?
Sat Jun 15 10:10:47 +0000 2019, dabei wollte er doch noch alle zum Gartenaufräumen einladen... hat sogar ne Kiste Bier geholt
Sat Jun 15 09:35:02 +0000 2019,Tabletten mit Bier runterspülen. This is #tkschland
Sat Jun 15 09:19:11 +0000 2019,Nazis sind Richtung Düren gefahren...2Pkws und Bus waren einkaufen(Bier)in Buir...jetzt weg.11.10...
Sat Jun 15 09:13:36 +0000 2019,Verkaufen die bei euch kein bier ?
Sat Jun 15 08:49:41 +0000 2019,Bier ist Regen egal.
Sat Jun 15 07:47:06 +0000 2019,"Sehr gut. Falls ihr Transportservice benötigt, dann sagt Bescheid Und abends werden wir endlich mal ein Bierchen trinken. Auch wenn ihr das nicht als Bier bezeichnet, sondern als Plörre "
Sat Jun 15 03:44:35 +0000 2019,"Guten Morgen Tweeps. Noch einmal arbeiten. Am 7. Tage ruhte er. Heute Nachmittag gehts zum Sportplatz, inkl Bier und gegrilltem. Ich wünsche euch einen gelungenen Tag "
Sat Jun 15 01:51:41 +0000 2019,"Tja, ich war heute mit ein paar uns beiden bekannten Podcasten in #Köln in einer netten Location Essen und Trinken. So als Vorbereitung für @Susticle's @AdisBaikonur-Reisebericht. Danach mit dem coolen @evildanwallace noch diverse Bier trinken."
Fri Jun 14 23:59:13 +0000 2019,Es handelt sich um Bier. 
Fri Jun 14 22:03:18 +0000 2019,"Bilanz von Tag 1: 3,50€ für Chili Cheese Fries, ca. 20€ für Bier, 69€ an Merchständen. "
Fri Jun 14 21:54:30 +0000 2019,"Egal was die in der Marketingabteilung bei GSK einnehmen! Ich will das auch. ""Grossartiger Geschmack"" wäre Bier, Rinderroulade oder Mausespeck aber doch nicht eine Mischung aus Minze und Klostein.... überall wirste verarscht "
Fri Jun 14 19:40:46 +0000 2019,Wer Bier auf den Boden schmeißt hat meinen Respekt verloren
Fri Jun 14 18:39:57 +0000 2019,"Ok.... immerhin 2 likes... kommt zwar nicht an AnRah83 Bein-likes ran... steh aber ohnehin nicht in Konkurrenz .... seid froh, dass ich nen Bier gepustet hab und keine unrasierten Männerbeine ... "
Fri Jun 14 18:14:26 +0000 2019,Rettet Whisky und Bier! Wir sind alle betroffen!!! Stoppt den #Klimawandel
Fri Jun 14 17:24:33 +0000 2019,Stehe in der Bier schlange
Fri Jun 14 17:24:19 +0000 2019,Bier Garten mit Freunden! @Liliom Kino Augsburg https://www.instagram.com/p/Byss0wFotDm/?igshid=1tbuldurixnqo
Fri Jun 14 16:59:52 +0000 2019,Oder die Kollegen fangen wieder vom Bier an.
Fri Jun 14 16:40:16 +0000 2019,Bamberg - Bier und Chips nach Ladenschluss 
Fri Jun 14 15:28:49 +0000 2019,"So, Bier kalt gestellt und Memo an alle Mücken raus, Betreff: Verpisst euch heute Abend bloß."
Fri Jun 14 14:48:58 +0000 2019,"Euer http://seestadt.bot ist schon klasse &amp; war eine tolle Inspiration bei unserem Besuch im @aspernmobilLAB! Wir haben das natürlich gleich ausprobiert - mussten aber feststellen, dass er zwar freie Radl anzeigt, das #Bier-Lieferfeature aber noch Verbesserungsbedarf hat "
Fri Jun 14 14:37:47 +0000 2019,Und auch noch Schalke Bier 
Fri Jun 14 13:04:01 +0000 2019,1 Bier vor 4! - Drinking a Maibock by @GBBrewingCo @Gütersloh International — http://untp.beer/s/c762814948
Fri Jun 14 12:51:34 +0000 2019,oder bier
Fri Jun 14 11:33:25 +0000 2019,"Haare sind ab, jetzt noch barten und dabei ein Bier. Ich freu mich mega auf heut Abend, auf meine Wunschfamilie! "
Fri Jun 14 10:48:22 +0000 2019,Ferienzeit... #restauration #kolonialwarenladen #colonialwarenladen #onkeltomshütteottweiler #feinkost #colonialwaren #kolonialwaren #pub #café #kneipe #ottweiler #saarland #gemütlich #gemütlichkeit #bier #beer… https://www.instagram.com/p/Byr_gxdoyNR/?igshid=qw1xey0wa0al
Thu Jun 13 23:00:42 +0000 2019,Zehn Euro (zwei Bier) sind für angestellte Redakteure demotivierend? Okay. Dann wird offenbar inzwischen sehr schlecht bezahlt. Meine Erfahrung ist noch anders.
Thu Jun 13 21:57:33 +0000 2019,"Ja, auch das weiß ich. Hiddleston wollte nur bei ner 2. Staffel mitwirken, wenn die mindestens genauso gut ist wie die erste. Aber Susanne Bier fällt weg"
Thu Jun 13 18:53:28 +0000 2019,Seminarvorbereitung abgeschlossen #frankfurt #bier #hessen #feierabend @Bier- &amp; Apfelweinlokal Friedberger Warte https://www.instagram.com/p/ByqSO5-ouUi/?igshid=18bh4098di6jz
Thu Jun 13 18:42:00 +0000 2019,Wie viel Bier bekomme ich für dein Trikot?
Thu Jun 13 18:22:54 +0000 2019,Ich vermisse das asoziale Festivalleben . [#rockamring #rar2019 #nurburg #nurburgring #camping #b5 #bier #drunk #ravioli #friends #asozial #maid #festival #festivalseason #slipknot #dieärzte #tool #piercedgirl… https://www.instagram.com/p/ByqOuobIUTa/?igshid=pz0cyxjui14r
Thu Jun 13 15:01:05 +0000 2019,Drinking a Mai Bock Bier by Lidl Deutschland / Germany @Hodges Wohnung — http://untp.beer/s/c762465103
Thu Jun 13 14:36:52 +0000 2019,Mit @k3kk3r im Park ein paar Lifestylegetränke konsumieren! #park #bier #hashtag
Thu Jun 13 14:33:37 +0000 2019,"Im Garten ist gut sitzen #tdog19 Am Samstag ab 16:30 h Bier und Chips , setz dich dazu #dafür @Kettlebell Schwäbisch Gmünd https://www.instagram.com/p/Byp0fvEooYc/?igshid=1i8j5x4fb0etm"
Thu Jun 13 14:13:23 +0000 2019,Genug erholt vom Wochenende. Heute im Lighthorse. Salud! #bar #goodtime #bier #kurze #gin #asbach #cocacola #ron #donnerstag #abend #lighthorse #drinkoftheday #drinks #drinks #barlife #gintonic #lounge #b54… https://www.instagram.com/p/BypyLbAoip-/?igshid=1hs5imf4m2iuz
Thu Jun 13 12:50:14 +0000 2019,Mittagspause. #bier #bestfoodever #lunchtime #craftnotcrap #nürnberg #franken #orcabrau #helleslager #einbierbitte #mittagspause @Orca brau https://www.instagram.com/p/Bypoqe8idL5/?igshid=1gp9j9oysuzpk
Thu Jun 13 12:47:54 +0000 2019,"Ich bring Bier mit und du den Whisky? Gehen wir auf die hinterste Bank, wo die COOLEN Kids sitzen?"
Thu Jun 13 09:24:49 +0000 2019,"Man panscht nicht mit Bier, das bleibt bei Wasser, Hopfen und Malz "
Thu Jun 13 08:27:56 +0000 2019,Kein Bier wir sind “nice ladies”
Wed Jun 12 21:00:10 +0000 2019,"#maischberger Launiges Format, wie ein Stammtisch! Warum hab ihr nur Wasser vor Euch! Gutes Bier oder lecker #Viertele passt viel besser! Macht Spaß zu zuschauen!! Aber die Stimmung beim Publikum wurde mit Valium im Wasser auf Null gesenkt! "
Wed Jun 12 19:24:33 +0000 2019,"Auf ein Bier vorm Haus eingeladen bei der Nachbarin, nach dem Gassigehen mit Hund in Rechtenstein.... Ich gehe jetzt täglich Gassi, bei dem Ausblick . Hey. It's me, Tom the photographer #Heimat so schön You… https://www.instagram.com/p/Bynw_2tFxdh/?igshid=vkk1ikuvdy1l"
Wed Jun 12 17:48:32 +0000 2019,"Das einzig gute an betrunkenen Menschen - oder eher Männern - ist, dass sie mehr Trinkgeld geben. Samstag Abend hat es sich auf jeden Fall gelohnt. Da ist das Trinkgeld genauso gut geflossen, wie das ausgeschenkte Bier. #59von100Tweets #beer #moneybitch"
Wed Jun 12 17:17:52 +0000 2019,"Ich trinke kein Bier, das geht im Sommer als alkoholisierte Limonade für mich durch"
Wed Jun 12 17:16:23 +0000 2019,Ist Becks Green Lemon schlimm? Ist ja kein Bier an sich
Wed Jun 12 16:56:01 +0000 2019,"Wenn man im Palm sein Bier trinkt und der VfB kein Heimspiel hat, muss wohl ein Konzert sein.#bryanadams"
Wed Jun 12 15:37:50 +0000 2019,"Erstmal ankommen.... *ich darf nich genau sagen wo.... Und mit wem, Bier muss als Hinweis reichen.... "
Tue Jun 11 21:34:23 +0000 2019,"@mduarteOfficial Johannes, der Säufer #prost #amen #bier #freibier @Germany https://www.instagram.com/p/BylbDpsifp7/?igshid=1l5xh1eobm1sw"
Tue Jun 11 20:45:39 +0000 2019, #Italy in #Germany Diese ganze Woche ist #Italien Thema in der #Bier- und #Fachwerkstadt #Einbeck #Südniedersachsen #weserbergland #visitgermany #meinniedersachsen #Europa
Tue Jun 11 20:35:41 +0000 2019,"@bergkirchweih: Medien-Stammtisch auf dem TUCHER-Keller mit dem #FunkhausNUernberg #TucherBier #SparkasseErlangen @charivari986. Der 6. Bergtag warm, teilweise mit 23 Grad, leichtem Regen am Abend und leckerem Bier @HJKrieg"
