Tue Apr 30 21:36:00 +0000 2019,Trinken alkoholfreies Bier... alles klar. #Lanz
Fri Apr 19 06:37:53 +0000 2019,Zu den Oster Tagen. Ein Oster Bier. @Schermbeck https://www.instagram.com/p/BwbWVnuHGHd/?utm_source=ig_twitter_share&amp;igshid=11qbl45on3a6m
Fri Apr 19 06:27:39 +0000 2019,Zu den Oster Tagen. Ein Oster Bier. @Schermbeck https://www.instagram.com/p/BwbVKtnHqG8/?utm_source=ig_twitter_share&amp;igshid=1ja1omxuqmp70
Thu Apr 18 20:48:45 +0000 2019,Er liest und zieht die Augenbraue hoch. Vermutlich mit 'nem Bier in der Hand.
Thu Apr 18 20:35:32 +0000 2019,Wenn jemand jeden Tag 6 Flaschen bier trinkt ist er ein Alkoholiker ! Punkt
Thu Apr 18 19:58:26 +0000 2019,Der große hat zwei Flaschen Bier intus und steht kichernd wie ein kleines Kind vor uns herrlich
Thu Apr 18 18:27:15 +0000 2019,"Fenster putzen: Küche sauber machen: Saugen: Wäsche waschen: Und gleich duschen, essen und ein kaltes Bier zischen "
Thu Apr 18 15:26:30 +0000 2019,Geht auch Bier?
Thu Apr 18 14:43:33 +0000 2019,"Unfreiwillige Pause in Stuttgart, aber das Bier ist günstig."
Thu Apr 18 13:50:12 +0000 2019,Ich lege ne Kiste Bier drauf.
Thu Apr 18 11:32:18 +0000 2019,Maximilians Brauwiesen - Schwarzbier #maximiliansbrauwiesen #schwarzbier #craftbeer #lahnstein #welovebeer #beerfluencer #beerstagram #instabeer #bier @Maximilians Brauwiesen https://www.instagram.com/p/BwZTPBzl_f7/?utm_source=ig_twitter_share&amp;igshid=b28upcmhnz1f
Thu Apr 18 11:03:37 +0000 2019,Das nächste mal nimmste aber bitte ein Bier was auch brennt zum posen
Thu Apr 18 10:19:53 +0000 2019,Konter Bier 
Thu Apr 18 08:30:11 +0000 2019,"Ostergrüße mit einem Blick hinter die Kulissen - wie entstand das ""Ei"" in eitie? Es war einmal an einem schönen Mittwochabend, als ich mit Markus Fürst bei einem Bier zusammen... https://www.eitie.com/wie-die-cis-aufs-ei-kam-ostergruesse-von-patrik-scherer/"
Thu Apr 18 08:00:51 +0000 2019,"Erlebt mich morgen in einer Stadt im Ausland, wie ich bei Sonnenschein draussen ein Bier genieße."
Thu Apr 18 07:29:04 +0000 2019,"Diese Verhaltensvorschriften, wann und wie man sein Smartphone nutzen darf Darf ich während des Spiels Bier holen oder klein auf Toilette, liebe Ultrasjakobiner?"
Wed Apr 17 19:05:24 +0000 2019,@bvbflo09 die liefern bestimmt auch Bier 
Wed Apr 17 18:51:49 +0000 2019,"Das ist ein Bier Shop, Wohl für die Presse , rundherum , das veltins Bier aufgestappelt"
Wed Apr 17 18:39:59 +0000 2019,Drinking a Keiler Weißbier Hell by Keiler Bier @Oberer Schlossgarten — http://untp.beer/s/c737521411
Wed Apr 17 18:05:30 +0000 2019,Hat mich 39min Verspätung zum ersten Bier gekostet 
Wed Apr 17 17:17:19 +0000 2019,Mir fehlt Etwas der Schaum im Bier 
Wed Apr 17 16:53:19 +0000 2019,#Ostern steht schon vor der Tür! Ich werde an zwei #Blogartikel arbeiten sowie an einem #Special - kochen mit Bier. Zu lesen dann auf https://tonistrendlupe.com
Wed Apr 17 15:53:49 +0000 2019,"Man, des Bier musste retuschieren, nicht den Stift "
Wed Apr 17 06:12:14 +0000 2019,"Vielen vielen Dank nochmal an das Team von @e3n_ecommerce für die coole Organisation des #testessen in @mainz_de gestern Abend. Ein schöner Abend mit coolen Kontakten, lecker Bier, lecker Pizza und einigen Erkenntnissen. Die @ruv_de kommt wieder."
Tue Apr 16 21:33:12 +0000 2019,Heute wird noch auf den lieben @Herr_Currywurst getrunken. Prost Heute mal Bier. Ich brauch auch Abwechslung. 
Tue Apr 16 21:09:08 +0000 2019,"3 Brauereien aus Oberfranken haben sich zusammengetan, um ein Bier zu kreieren. Ist Ihnen gelungen! @Bamberg, Germany https://www.instagram.com/p/BwVLqK_HGn4/?utm_source=ig_twitter_share&amp;igshid=kb1va2931oj8"
Tue Apr 16 19:54:36 +0000 2019,Ahle Wurscht und Bier. 
Tue Apr 16 17:59:06 +0000 2019,Wo geht es hin? Biste lang unterwegs? Ich bin wieder zurück. Erstma nen Bier.
Tue Apr 16 17:55:15 +0000 2019,Ersma ein Schlörf. Happy #4sqDay! - Ich trinke ein Pilsener-Bier von Störtebeker Braumanufaktur @Auf'm roten Sofa http://untappd.com/c/737227680
Tue Apr 16 17:25:17 +0000 2019,Dazu dieses Bier 
Tue Apr 16 17:25:10 +0000 2019,#1000 !!! #german #international #Bier #beer #bière #pivo #cerveja #cerveza #啤酒 #пиво #øl #бира #बीयर #בירה #ビール - Drinking a Kapuziner Kellerweizen by Kulmbacher Brauerei @Tepe's Minimarkt —
Tue Apr 16 17:14:56 +0000 2019,"Nach dem Stadionbesuch machen wir einen Abstecher in die Hausbrauerei #Altstadthof! Hier gibt es neben selbst hergestelltem #Rotbier, Whisky &amp; Gin Platz für #Events inkl. Tastings &amp;Bier-Erlebnis-Touren in den #Felsgängennürnberg #meetnuremberg #GCBRoadshow Copyright:Ralf Arnold – at Hausbrauerei Altstadthof - Bräustüberl"
Tue Apr 16 15:37:42 +0000 2019,Die nudeln mit dem Bier und dem ganzen Eiweiß? So für 5 BE
Tue Apr 16 14:38:55 +0000 2019,Was kommt als nächstes? Alkoholfreies Bier Taxi?
Tue Apr 16 08:18:30 +0000 2019,Und ich hätte gerne ein Bier!
Tue Apr 16 05:58:36 +0000 2019,Mun warum sehen wir Werbung von Bier und Zigaretten in der Stadt.. Doch es gibt keine Plakate von kückenvergasen und schrettern und Bilder von massenzucht und 1 Meter Platz und nie das Licht der Sonne 
Mon Apr 15 20:27:49 +0000 2019,"Wie oft ich schon an der Seine gesessen, Bier getrunken und auf diese Kirche geschaut habe… #NotreDame"
Mon Apr 15 19:36:36 +0000 2019,Bier reicht 
Mon Apr 15 18:30:11 +0000 2019,Erste Szene schon sowas von episch. #forthetrone #GamefThrones
Mon Apr 15 18:25:43 +0000 2019,Das Intro und ich hab schon Redebedarf. #GamefThrones #ForTheThrone
Mon Apr 15 17:58:35 +0000 2019,"one of the best ""non alcoholic beers"". brauerei_gutmann leichtes hefeweizen. #feierabendbier #garten #sundowner #gutmann #hefeweizen #alkoholfrei #bier #beerlove #brewerylife #gardenlife #springtime… https://www.instagram.com/p/BwSRDvqF1Oi/?igshid=19yh2yy8cre5j"
Mon Apr 15 09:56:51 +0000 2019,"Ja, Sport ist auch das Bier nach dem Training."
Sun Apr 14 21:50:10 +0000 2019,Wie ich da stehe mit meinem Bier in der Hand @electrinchen @Raupling
Sun Apr 14 21:28:59 +0000 2019,"Wenn Du sei 40 Tagen nur alkoholfreies Bier trinkst, ist das durchaus ein Schritt nach vorne."
Sun Apr 14 21:06:41 +0000 2019,Nettes Abendessen und tolle Cocktails mit neinweil und am Ende kann _.patte auch noch auf ein Bier und Rigatoni dazu. Geossartiges philly cheese steak und eine wunderbare Bedienung… https://www.instagram.com/p/BwQByYAh3Ff/?utm_source=ig_twitter_share&amp;igshid=1q3vbr4wzg2md
Sun Apr 14 19:09:10 +0000 2019,Wenn man sich verabschiedet hat aber doch noch für ein Bier zurück kommt #Wochenende #Saufen #Stuttgart
Sun Apr 14 18:48:46 +0000 2019,Unser erstes IPA Bier kurz vor der Geburt. Abmaischen fertig. Jetzt wird der Hopfen gekocht. @malthopshops
Sun Apr 14 17:47:26 +0000 2019,Nach 2 Bier und so ner Sportzigarette ist die Welt auch schon wieder etwas langsamer 
Sun Apr 14 17:38:26 +0000 2019,"Doch auch unsere #RocketLeague Sparte war nicht untätig, zwar hat es mit JanaTuerlich als Sub für @D3siredRL nicht für einen Platz auf dem Treppchen der @BingenImpulse Extreme Rivals (kurz: #BIER) gereicht, Spaß hatten Mann und Frau trotzdem! "
Sun Apr 14 17:05:12 +0000 2019,Bier auf Wein Das rate ich dir 
Sun Apr 14 15:33:38 +0000 2019,Das ist keine #cappuccino Haube Hier gärt das #Bier #fotografenstammtisch #fotocamp #focapf @Adler-Bräu Wiernsheim https://www.instagram.com/fotocamp_official/p/BwPbrEPHV1D/?utm_source=ig_twitter_share&amp;igshid=1i9116i2f4oig
Sun Apr 14 14:01:59 +0000 2019,"Kleine Frankenernte via #CraftBeerFest 0711 anno 2019, post-Stone: AUltes Bier in neuen Alu-schläuchen / Neues Kellerbier in alten Bäuchen "
Sun Apr 14 12:52:26 +0000 2019,"""in einen Ferrari passt kein Kasten Bier"" ist immernoch einer der besten und zutreffendsten Aussagen. - Getätigt von Alf Mintzel - Fußballgott vom @SVWW_official. #Fussballerzitate"
Sun Apr 14 06:28:48 +0000 2019,Kannst net in der Nachspielzeit deinen Gegner anspucken. #ascacibar #VfBB04
Sat Apr 13 23:05:31 +0000 2019,"gerade, wohl dank alkohol und eines erlebnisses heute, an nem punkt, an dem ich mir am liebsten noch endgültig das licht ausknipsen wollte. doch was macht das besser? morgen dann n gewaltiger kater und bier wieder alle."
Sat Apr 13 21:14:20 +0000 2019,"#Helles meets #HighBalls! #Gin und #Bier, dass rat’ ich dir! #Kampmanns"
Sat Apr 13 20:38:47 +0000 2019,Bier mit Zuschlag. ##VaeVictis – at Phono
Sat Apr 13 19:54:57 +0000 2019,mein bier dazu.
Sat Apr 13 19:17:58 +0000 2019,Na wenigstens gab's Bier 
Sat Apr 13 18:48:58 +0000 2019,"Der Höhepunkt der heutigen Tour waren fraglos die superleckeren Pfannkuchen bei Susanne Spies „uff da #hangard “. Es gab auch Rohesser , Kaffee und Bier . Danke an… https://www.instagram.com/joerg.aumann/p/BwNNOqeH-2k/?utm_source=ig_twitter_share&amp;igshid=1mp64wg4w082"
Sat Apr 13 18:01:15 +0000 2019,"Das glaube ich dir Nichts geht über, das Bier aus der Heimat Prost vom Bergerfeld "
Sat Apr 13 17:07:04 +0000 2019,Endlich Bier! – at Kölschbar
Sat Apr 13 15:54:54 +0000 2019,PSV beschde Wurscht und beschdes Bier!
Sat Apr 13 15:45:58 +0000 2019,Ich jetzt auch..... erstma nen Bier. 
Sat Apr 13 15:34:13 +0000 2019,"Freundin: ""Und, hattest du Spaß bei #RWE?"" Ich weiß gar nicht mehr, was ich darauf sagen soll. Entweder ""Bist du irre?"" oder ""Hol mir bitte mal 'n Bier."" #RWEBVB"
Sat Apr 13 15:31:05 +0000 2019,Dann geht dein Bier auf mich! 
Sat Apr 13 12:15:37 +0000 2019,Bier ist jetzt vorhanden. 
Sat Apr 13 11:32:54 +0000 2019,Beim Plattenkauf auf nüchternem Magen ein Bier trinken macht ganz schön beschwingt 
Sat Apr 13 09:25:31 +0000 2019,"Ich hab Urlaub und sitze am Flughafen, deshalb ... a) darf man um die Uhrzeit schon Bier b) letztes Altbier vor Teneriffa c) zur Not trinkt der Teufel auch Diebels – at Bistro Düsseldorf Airport"
Sat Apr 13 09:09:02 +0000 2019,Beobachtend würde ich behaupten Frauen trinken weniger Bier als Männer. Ich mag mein Wegbier :-)
Sat Apr 13 08:57:21 +0000 2019,#VFBB04 #VfB Sollte man schon Bier? Ich Frage für einen Freund!
Sat Apr 13 06:09:37 +0000 2019,Ein Bier aus dem Tragerl - wie geil! 
Fri Apr 12 21:37:13 +0000 2019,Erstmal 8 Bier und dann weiter... Mit @k3kk3r
Fri Apr 12 20:30:15 +0000 2019,Köln - Aus für Kölner Braurerei: 100 Jobs in Gefahr: Jetzt muss der Bier-Riese Größe zeigen https://www.focus.de/regional/koeln/koeln-aus-fuer-koelner-braurerei-100-jobs-in-gefahr-jetzt-muss-der-bier-riese-groesse-zeigen_id_10587391.html?rnd=deb89e29fcfc715ac63dc1aca1d373cb
Fri Apr 12 20:11:36 +0000 2019,Gilt #Hemelinger noch als Bremer Bier ? #Bremen #Braunschweig #Spezial #Wolters
Fri Apr 12 19:45:29 +0000 2019,Ich habe richtig Bock auf die Lilien morgen. Nach einer Woche am Strand liegen brauche ich wieder ehrlichen Fußball und dazu gutes deutsches Bier 
Fri Apr 12 19:43:58 +0000 2019,"Heute mal Schalke ohne Bier, dafür mit Tochter auf dem Arm. “Erste Male” werden im späteren Leben ja immer seltener, dafür um so schöner. "
Fri Apr 12 19:33:26 +0000 2019,"""Tschuldigung wir waren kurz Bier holen."" Kürzlich im Kölner Keller. #FCNS04"
Thu Apr 11 21:42:01 +0000 2019,"„mhm das bier schmeckt aber vorzüglich! wer hat das denn gebraut?“ „die tochter des lords von lochaber, miss maggi todd, milady“ "
Thu Apr 11 21:26:51 +0000 2019,"es gibt studien über dinge, über die ich mir noch nie gedanken gemacht hab. entweder mir schmeckt ein bier oder nicht. der rest ist mir egal. "
Thu Apr 11 20:19:19 +0000 2019,Ok. Hab nachgesehen wo das ist. Ich geh halt von hier 5 Minuten rüber... Aber beim nächsten mal treffen wir uns auf ein Bier
Thu Apr 11 18:47:27 +0000 2019,"Fünf davon in meinem Kühlschrank. - Ich misstraue jedem Bier, bei dem „Isotonisch“ auf dem Etikett steht. "
Thu Apr 11 18:29:52 +0000 2019,"Harte Arbeit. Ehrlicher Lohn. #Crewrun mit den pace_pack_runners in #dortmund. #bierstadt bergmannbier #laufen #running #beer #bier @Hörde, Nordrhein-Westfalen, Germany https://www.instagram.com/laufendessen/p/BwIBdGMAzK5/?utm_source=ig_twitter_share&amp;igshid=1untw5zlgk7dy"
Thu Apr 11 17:51:59 +0000 2019,Phase 1 war nur ein Bier 
Thu Apr 11 16:43:34 +0000 2019,In #gameofthrones wird schon ganz schön viel gebumst. #ForTheThrone
Thu Apr 11 16:01:25 +0000 2019,Tag eins unseres Agile Coach Workshops mit @rgies und @derDoubleD neigt sich dem Ende. Tolle location #yneospace und viele weiterbringende Gespräche. Freu mich auf morgen. Jetzt Bier. \o/ ~ag 
Thu Apr 11 12:06:58 +0000 2019,Bier. @Bietigheim-Bissingen https://www.instagram.com/p/BwHVo9dlvq4wJ-qFruXnOasKSniZxFZsJFk4ww0/?utm_source=ig_twitter_share&amp;igshid=1824bl7xckias
Thu Apr 11 10:06:11 +0000 2019,"#Mittagspausenbier an der #Harzlandhalle #Ilsenburg mit #schmeckerlecker #UweIPA von #trinkuwe/@avaliastudios,auf dich #Uwe #nonalcoholicbeer #lunchbier #lunchbeer #mittagsbier #germanbeer #deutschesbier #Frühlingsschnee #flötzingerhell #bierzeit #beertime #biervielfalt #bier "
Wed Apr 10 20:02:38 +0000 2019,Und für besondere Leistungen auch ein Bier?
Wed Apr 10 19:39:43 +0000 2019,Zwischen Baustelle und schleppen einfach mal ein leckeres Bier mit Erinnerungen an Thailand Grüße an @Mssosom @npuengggg moo_thekang @Mönchengladbach https://www.instagram.com/p/BwFkqASA1aK/?utm_source=ig_twitter_share&amp;igshid=141zg2fazno7a
Wed Apr 10 18:02:00 +0000 2019,"Kennt ihr die Tage, wo fast alles schief geht? Und ihr nichts dafür könnt, weil es definitiv von anderen verursacht wurde? Es bedarf viel Kraft nicht grün anzulaufen und 3,50m groß zu werden. Erstmal nen Bier."
Wed Apr 10 17:46:05 +0000 2019,"Es gibt Tage da könnte man zum Mörder werden. Doofe Autofahrer, blöde schleichende Touristen, Chefs, Kunden.... Heute ist so ein Tag. Oder einfach in die Tonne und resigniert ein Bier."
Wed Apr 10 16:33:08 +0000 2019, Was für ein Bier trinkst Du denn? xD
Wed Apr 10 15:47:37 +0000 2019,"Nürnberg: Neuer Chef bei Tucher: ""Wir sind Craft-Brauer"" - Wirtschaft - http://nordbayern.de http://www.nordbayern.de/wirtschaft/neuer-chef-bei-tucher-wir-sind-craft-brauer-1.8790247 Na dann doch lieber ein Bier vom #StreuBräu aus Altenfurt. Handwerklich und regional gebraut."
Wed Apr 10 14:53:07 +0000 2019,"Bis zu 3 Bier voll angenehm, mehr ist ein bisschen too much, kann ich dir sagen"
Wed Apr 10 13:15:06 +0000 2019,"Aber Jens du weißt doch Wein auf Bier das rate ich dir, doch Bier auf Wein, das las sein. "
Wed Apr 10 09:42:25 +0000 2019,"Sehr schlechtes Bier , gleichzeitig sehr schöner Clip mit @DwyaneWade"
Wed Apr 10 08:46:12 +0000 2019,"Ohne #Raucherpause in #Hamm nach #Berlin. Und - nein - das ist kein Problem :-) Ansonsten: Kaffee, Bier oder Gedöns? Einfach melden! #ICE557"
Wed Apr 10 08:13:42 +0000 2019,Am 14.04 - Kommt am Sonntag zu uns zum gemeinsamen Vinyl hören und bringt mit was Ihr am RSD ergattert hat wir sind gespannt was Ihr mitbringt. Natürlich haben wir auch ein kühles Bier am… https://www.instagram.com/p/BwEWJefH4rJ/?utm_source=ig_twitter_share&amp;igshid=1nuec135ogcj6
Wed Apr 10 07:58:17 +0000 2019,"Dachte gestern wär ich verplant gewesen, aber heute hab ich den Kopf im Kofferraum gelassen, als ich ihn zugemacht hab."
Wed Apr 10 06:59:54 +0000 2019,Das beste Bier gibt es in Bayern 
Wed Apr 10 06:27:43 +0000 2019,Kurze Frage: Wer ist bei #GameofThones eigentlich kein Arsch? #ForTheThrone
Tue Apr 09 20:44:38 +0000 2019,"Ramsay Bolton, du gemeiner Wicht! #ForTheThrone"
Tue Apr 09 19:52:43 +0000 2019,Nach so viel Bier erst mal ein Milchshake. 
Tue Apr 09 19:20:33 +0000 2019,"Ich hab zwar keine Ahnung ob die Leute bei @DB_Bahn ihren Feierabend mit Bier begießen aber ich bin mir sicher, heute haben sie ihn mit Bier begonnen. "
Tue Apr 09 18:48:07 +0000 2019,#followerpower Hat jemand ein Ticket für das Heimspiel von Dortmund gegen Mainz am Samstag übrig? Oder kennt vielleicht wen? #BVBM05
Tue Apr 09 18:30:33 +0000 2019,Nur Bier Gläser https://www.amazon.de/Unitedlabels-0804199-Sprechendes-Bierglas-Simpsons/dp/B0015G8NIO
Tue Apr 09 16:35:59 +0000 2019,"Soundcheck läuft! Die @elephantsontape grooven sich für euch ein. Die #LeuchtturmJena-Türen öffnen sich 19 Uhr. Los geht´s 20 Uhr. Seid pünktlich oder gern auch überpünktlich, dann trinken wir noch ein Bier. Bis gleich! #kulturinjena #jena"
Tue Apr 09 15:43:56 +0000 2019,Die Graufreuds sind stabile Idioten.
Tue Apr 09 11:10:44 +0000 2019,Irgendwie ist mir nach Bier.
Tue Apr 09 09:43:37 +0000 2019,Zu den wirklich wichtigen Dingen: später Bier? 
Tue Apr 09 07:19:10 +0000 2019,"Steh vor seiner Tür, haste Bier da? "
Tue Apr 09 05:12:26 +0000 2019,Bier zum Beispiel. Solange es kein Weizen ist.
Mon Apr 08 23:02:30 +0000 2019,"Wenn das Bier fließt, sprudeln auch die Fragen #hrtn8 @hrtecnight"
Mon Apr 08 19:00:48 +0000 2019,Niemand wurde vom Karma schneller und härter gefickt als Theon Graufreud. #ForTheThrone
Mon Apr 08 15:42:52 +0000 2019,Sauft Euer Zeug doch selbst! Als wenn Amis Bier brauen können. Ich lache nur.
Mon Apr 08 15:34:58 +0000 2019,"Kann wahrscheinlich später nicht Late Night Berlin gucken, weil wir grillen und zu viert einen Kasten Bier und 3 Flaschen Wein haben und da ist ja schon absehbar, dass das länger dauern wird. "
Mon Apr 08 08:04:35 +0000 2019,"Bitter? Wir haben schon ganz laaaange ein Hotel in Arena. Das ist voll toll mit Bar mit voll teuren Ginsorten und ""Bier""."
Mon Apr 08 07:38:42 +0000 2019,Bier außerhalb des Kühlschranks????? Skandal!!!!1!!!1!!!1!!
Mon Apr 08 06:20:04 +0000 2019,"Sommer, Sonne, gutes Bier. Sonntags auf dem Entlas Keller in #Erlangen – at Bergkirchweih Erlangen - am Entlas Keller"
Sun Apr 07 23:10:22 +0000 2019,"Jeder Moment kann der schönste sein, man muss nur wissen, mit wem man ihn teilt. #friends #friendshipgoals #frien#brauerei #brauereibesichtigung #bier @Hirschbrauerei Flözlingen https://www.instagram.com/p/Bv-OYHYBVyR/?utm_source=ig_twitter_share&amp;igshid=1nctwpi3qlvys"
Sun Apr 07 19:13:41 +0000 2019,5ünf zu Null ________________ #samstag #bier #youtube #kegeln #lol #chill #5 #0 #export #beer #lecker #wochenende #livestream #vlog #livestreamer #youtuber ________ shanetsgtv_reviews… https://www.instagram.com/p/Bv9zSm8Az_O/?utm_source=ig_twitter_share&amp;igshid=1xa0dsmh2twao
Sun Apr 07 18:07:42 +0000 2019,"Ich hab mein @officialhsb Shirt irgendwie verschlampt und frag mich jetzt, wie behindert man eigentlich sein kann."
Sun Apr 07 17:47:17 +0000 2019,"Jetzt gerade im #ice613. Läuft heute nach längerer Zeit nicht so ganz rund. Verspätung dazu, aber ned so viel. Bier nur aus der Flasche. Aber egal. Bin auf dem Weg zu meinem "
Sun Apr 07 17:40:15 +0000 2019,"Natürlich animiert nicht jede Musik wirklich zum Bier trinken, aber selbst die Jammermänner von Forster bis Giesinger regen ja den Durst eher mehr an, damit man ihre Lieder besser &amp; schneller vergessen kann."
Sun Apr 07 16:42:34 +0000 2019,Jetzt weiß ich auch nicht ... #LeavingNerverland
Sun Apr 07 16:36:35 +0000 2019,Pizzateig ist fertig ruht. Bier ist auch noch genug da. Könnte schlechter sein.
Sun Apr 07 15:44:45 +0000 2019,es gibt draussen Bier 
Sun Apr 07 15:44:07 +0000 2019,hast du 5 bier bestellt und mit erdnüssen geworfen?
Sun Apr 07 15:39:23 +0000 2019,Endlich mal gescheites Bier in der TL 
Sun Apr 07 15:02:50 +0000 2019,"Welches Bier trinkst Du? Und nein, „viel“ zählt nicht als Antwort."
Sun Apr 07 14:14:41 +0000 2019,"Kunst auf der Litfaßsäule, Altstadt-Romantik und dunkles Bier: drei gute Gründe, Düsseldorf zu lieben - und zu besuchen! #DeinNRW #NRWGenuss #urbanana – at Säulenheilige-Braut"
Sun Apr 07 14:02:54 +0000 2019,Und hier das Fünf-Punkte-aus-Sieben-Tage-Bier #SGDFCU
Sun Apr 07 13:55:55 +0000 2019,"Das ist das neue Bike and Train Angebot der @DB_Bahn. In den Wagen sind an jedem Platz Pedale. Bierbike für die Schiene quasi – nur dass das Bier aus ist, weil das Bordrestaurant wegen einer technischen Störung geschlossen ist. War ja eh klar "
Sun Apr 07 11:49:52 +0000 2019,ESL Meisterschaft in Düsseldorf mit @ATNattax @sproutGG @BerzerkCS @expert_eSport @ESLGermany Ein super event #CSGO #Duesseldorf #Gönnung #Bierflat #Counterstrike #Meisterschaft #Bier #Altbier #leiderkeinaltbier
Sun Apr 07 10:40:45 +0000 2019,Bier gibt's am Kiosk. Bin aber komplett gefegt 
Sun Apr 07 08:44:12 +0000 2019,"Liebe Schwester, die Entfolger sollten daran denken, dass es auch alkoholfreies Bier in Kühlschränken gibt. LG Heinz"
Sat Apr 06 21:53:23 +0000 2019,"Wenn „Wein“ am Samstagabend trendet, mache ich mein drittes Bier auf!"
Sat Apr 06 21:27:28 +0000 2019,"Frankfurt ist so international, hier gibt es sogar australisches Bier – at Kakadus"
Sat Apr 06 17:43:56 +0000 2019,Hab‘s mal ausprobiert: Mit bayerischem Starkbier lässt sich das Spiel besser aushalten als mit Dortmunder Bier. #FCBBVB
Sat Apr 06 17:25:11 +0000 2019,"Hamburg - Bier top, Essen flop: So gut (oder schlecht) ist die neue Astra-Brauerei auf dem Kiez "
Sat Apr 06 14:53:38 +0000 2019,"Das war das #digicamp: coole Feedbackrunde mit Bier, Gong und Kurzrückblicken aller Sessiongeber. War ein tolles, volles, spannendes Programm - danke an alle, auch Sponsoren und Organisatoren @digicampAUX. See you again 2020! "
Sat Apr 06 13:01:08 +0000 2019,Zählt Bier als Tee müsste ja :D
Sat Apr 06 12:34:09 +0000 2019,"Was denken Männer eigentlich, die nur Schultern pumpen. Dass ein menschliches Dreieck geil ist?"
Sat Apr 06 12:27:39 +0000 2019,Ich bin im Schwabenland hier kannst du nur Bier kaufen 
Sat Apr 06 08:13:43 +0000 2019,Hoffentlich gibt's abends Bier.
Sat Apr 06 06:51:40 +0000 2019,"Früher so: „48000 Bier und 2000 Schnaps, ich fühl mich super“. Heute: „5 Bier, uuh scheiss Kopfschmerzen“."
Fri Apr 05 21:00:38 +0000 2019,Öttinger schmeckt nicht Alkoholfrei! Und sowieso schmeckt dat nicht! Ja! Ich genehmige mir Alkoholfreies Bier! Isotonisch ist das besser!
Fri Apr 05 20:28:12 +0000 2019,Ich hab morgen tolle Menschen und Bier. Ich komme klar 
Fri Apr 05 19:25:54 +0000 2019,"Absurd. Netter kann man den Gegner nicht zum Sieg zwingen. Immerhin hab ich mir in der Halbzeit diesmal ein Bier holen können, ohne für einen Elfmeter zurück in den Innenraum stürmen zu müssen. #M05SCF"
Fri Apr 05 19:19:01 +0000 2019,Übrigens habe ich jetzt Bier aus mindestens 45 Brauereien in Hessen getrunken! Und viele fehlen mir noch. #HessensKleine
Fri Apr 05 18:15:10 +0000 2019,Wecker 5:30. 6:30 bis 18:30 aus dem Haus. Workshop mit An- und Abreise. Dann Pizza mit Frau und Kindern. Kuscheln und Schlafgeschichten. Jetzt Bier und PowerPoint. #selbstundständig
Fri Apr 05 17:54:11 +0000 2019,Drinking a Keiler Weißbier Dunkel by Keiler Bier @Exerzitienhaus Himmelspforten — 
Fri Apr 05 16:26:51 +0000 2019,"Was meint ihr hier auf Twitter dazu: wenn ich mir Alkoholfreies Bier kaufe, gehe ich davon aus, dass da wirklich 0,0 Prozent Alkohol drin ist! In Wirklichkeit enthält vermeintlich alkoholfreies Bier nämlich 0,5 Prozent!! Ich halte das für betrug am Kunden, arglistige Täuschung!!!"
Fri Apr 05 16:20:34 +0000 2019,Catherine Stark war schon ganz schön assi auch. #ForTheThrone
Fri Apr 05 15:03:02 +0000 2019,Was ich morgen sehen will -meine Lieblingsmenschen -Bier -Erwin #S04 #s04sge
Fri Apr 05 12:18:39 +0000 2019,"""Herr Ober, wo bleibt mein Bier?"" ""Haben Sie mal auf die Uhr geschaut?"" ""Ja, da isses nicht"" danke, Dieter Krebs (+)"
Fri Apr 05 10:56:23 +0000 2019,"KEINE WERBUNG. LIEBER BIER. In diesem Sinne: Habt ein tolles, sonniges, spannendes, abwechslungsreiches, unterhaltsames, zwei- oder mehrsames, farbenfrohes Wochenende! Außer Bier und… https://www.instagram.com/p/Bv3wyexhxWr/?utm_source=ig_twitter_share&amp;igshid=1a6809huwlp3d"
Thu Apr 04 20:48:48 +0000 2019,Ahhh gönn dir. Müssen mal zusammen ein paar Bier trinken so ganz verschiedene Sorten. Z.B belgisches Kirschbier 
Thu Apr 04 20:32:39 +0000 2019,Was schon in Folge 1 für Konflikte aufgemacht werden. #ForTheThrone
Thu Apr 04 20:19:17 +0000 2019,"Pizza , Bier und coole Leute bei @e3n_ecommerce in #Mainz beim #usability #Testessen am 16.4.. jetzt schnell anmelden "
Thu Apr 04 18:39:33 +0000 2019,Perlen der Werbewirtschaft! #mineralöl #bier #rupp #lecker #landluft #werbung #claim #clever #smart #haha @Felsenkeller Lauenau https://www.instagram.com/p/Bv2BADEBDe3/?utm_source=ig_twitter_share&amp;igshid=1oxwd30yxy1ux
Thu Apr 04 17:10:31 +0000 2019,5 Bier bis zum Tischtennis spielen 
Thu Apr 04 17:10:07 +0000 2019,"Delicate grains, crackers, subtle vanilla honey, floral hops with a malty balance. Nice and fresh! - Drinking an Original Pfaffen Bier by Pfaffen Brauerei @Pfaffen Brauerei — http://untp.beer/s/c731898549"
Thu Apr 04 16:27:37 +0000 2019,"#FirstDates „Eine Frau, die Bier trinkt, zieht sich auch beim Figgn nackicht aus“ Sascha. Irdendwie alt. Eine Granate. Mit Pinsel."
Thu Apr 04 14:47:00 +0000 2019,"Faxe, ist das nicht die Literdose Bier? "
Thu Apr 04 13:17:32 +0000 2019,"Da sagste was, hatte ich schon ewig nicht mehr. Und das einzige Bier, das ich überhaupt mag. "
